count,count,size,size,components,components
mean,std,mean,std,mean,std
2487.0,0.0,759.1050844231231,0.0,14.0,0.0
2487.0,0.0,759.2369977610762,0.18611336424053365,14.0,0.0
2484.0,0.0,758.2168603619405,0.5096282422120775,14.1,0.3077935056255462
2482.0,0.0,757.8441921919839,0.6189463961773021,14.2,0.4103913408340616
2479.0,0.0,756.7533457872786,0.832257197285613,14.45,0.5104177855340404
2477.0,0.0,756.3172673800757,1.0841529690669525,14.55,0.5104177855340405
2474.0,0.0,755.2282163979735,1.2579788520321866,14.6,0.5026246899500345
2472.0,0.0,754.7755454151114,1.5857351377363311,14.7,0.5712405705774795
2469.0,0.0,753.4123019590672,1.5245080822766126,14.75,0.5501196042201808
2467.0,0.0,752.8737374897651,1.6232530297348724,14.95,0.6048053188292994
2464.0,0.0,751.6573772804359,1.556315296433406,15.1,0.7181848464596078
2462.0,0.0,751.097734139189,1.411849346224716,15.2,0.8335087534664907
2459.0,0.0,749.930293411393,1.607829650869831,15.3,0.9787209698591857
2457.0,0.0,749.5886616592911,1.730475957165352,15.4,1.0462967275611939
2454.0,0.0,748.5766789071043,1.78051420163111,15.55,1.050062654772261
2452.0,0.0,748.257664199113,1.75431764014319,15.85,1.1821033884786187
2449.0,0.0,747.0657121879473,1.9026852787156847,16.0,1.2139539573337679
2447.0,0.0,746.5572169473473,2.00754700272712,16.15,1.3088765773505318
2444.0,0.0,745.3922546081756,2.2029122809883384,16.15,1.3088765773505318
2442.0,0.0,744.7945177142631,2.1761813184427976,16.15,1.3088765773505318
2439.0,0.0,743.6610262070942,2.2996012522561995,16.15,1.3088765773505318
2437.0,0.0,743.1308730461649,2.375046292166036,16.15,1.3088765773505318
2434.0,0.0,741.9270051131818,2.5908465231269817,16.15,1.3088765773505318
2432.0,0.0,741.5823743326387,2.3352795741124557,16.3,1.2607433062326867
2429.0,0.0,740.3382691010944,2.2690425350726566,16.3,1.2607433062326867
2427.0,0.0,739.8971045466943,2.302399791376342,16.4,1.2732056517228267
2424.0,0.0,738.7995183840251,2.1076000585447754,16.45,1.2343760409722462
2422.0,0.0,738.2335914987592,2.055398288292437,16.45,1.2343760409722462
2419.0,0.0,737.2226558982854,2.2480805496247154,16.5,1.2773327473170102
2417.0,0.0,736.72395948972,2.200438271988921,16.6,1.313893370663573
2414.0,0.0,735.6203705172926,2.3361667074811856,16.6,1.313893370663573
2412.0,0.0,735.2918486722231,2.1730833339228863,16.65,1.3088765773505318
2409.0,0.0,734.2176821581077,2.2011560708453968,16.7,1.2607433062326867
2407.0,0.0,733.8590044440638,2.303247253667915,16.75,1.292692009559488
2404.0,0.0,732.5484867682101,2.1351939169718652,16.75,1.292692009559488
2402.0,0.0,732.3079987311809,2.083398142949704,16.85,1.2258187382102497
2399.0,0.0,731.404856786699,2.375600493596424,16.9,1.3337718577107005
2397.0,0.0,731.0056678638846,2.604483097386336,16.95,1.3168942730211068
2394.0,0.0,729.7904338760045,2.6527312469696747,17.1,1.4473205733717958
2392.0,0.0,729.3278036493432,2.7383612730419196,17.15,1.4608937423083823
2389.0,0.0,728.1868005654518,2.6730369202369237,17.25,1.51744244666721
2387.0,0.0,727.7598393018598,2.6803425481527907,17.3,1.5252264715358448
2384.0,0.0,726.6904225980564,3.006198439617948,17.4,1.569445091341791
2382.0,0.0,726.2775029605407,3.112009075521869,17.4,1.569445091341791
2379.0,0.0,725.2417175703179,3.284044137725487,17.5,1.5727950313140984
2377.0,0.0,724.8551782393064,3.3818162555835762,17.65,1.565247584249853
2374.0,0.0,723.7638151453657,3.489657109107259,17.7,1.5252264715358448
2372.0,0.0,723.1924817136447,3.4472403445848037,17.8,1.5761378513048245
2369.0,0.0,722.138047430288,3.383359515350015,17.85,1.565247584249853
2367.0,0.0,721.7949521803625,3.639323301629149,17.95,1.6375527311718607
2364.0,0.0,720.5190958542998,3.5020879010112873,17.95,1.6375527311718607
