count,count,size,size,components,components
mean,std,mean,std,mean,std
3782.05,14.809225431964254,3418.559837265614,27.796601603577518,1.0,0.0
3760.15,47.316710078275506,3385.685760725549,72.2990661280086,1.0,0.0
3614.5,119.95766797192732,3167.205954280958,172.83575759956523,1.0,0.0
3560.6,138.3874804194444,3093.735588163295,192.53641565609,1.0,0.0
3547.25,128.39284903845123,3070.880754249165,164.56520098276468,1.0,0.0
3541.8,118.96554122938291,3059.4464282500085,157.8120337363349,1.0,0.0
3513.75,109.0957450084437,3041.5436657575815,142.9123542599962,1.0,0.0
3478.15,100.41507278344851,2982.1980083274075,136.24968775300465,1.0,0.0
3462.3,92.1549610281794,2955.6906689961447,112.16707590086739,1.0,0.0
3420.4,138.08670045339363,2905.7241517586467,158.28260084299936,1.0,0.0
3410.65,141.35110261517707,2897.6420987374922,151.40985492522836,1.0,0.0
3403.95,157.00669613611691,2889.688150073721,190.0192841589988,1.0,0.0
3385.85,150.91206048556887,2871.0753417756105,180.35145151186288,1.0,0.0
3384.0,154.17898006776684,2880.4944822052385,188.57265099547774,1.0,0.0
3369.85,140.12636214653205,2856.6655591293684,179.2315296196287,1.0,0.0
3351.75,135.11082195933201,2841.9328602953565,166.10846652185373,1.0,0.0
3350.25,135.45979205342778,2832.9892719290488,178.6880704073262,1.0,0.0
3349.25,136.89983852975752,2830.818462724991,159.9214706704004,1.0,0.0
3331.7,130.95282396826408,2817.6274851080834,152.61908153790512,1.0,0.0
3308.25,185.54751838531112,2793.848572999308,207.29273560331757,1.0,0.0
3280.75,189.10116340202669,2761.8674442979727,210.64912135989871,1.0,0.0
3269.6,185.14472290900605,2748.1126715697537,204.98581306189985,1.0,0.0
3235.3,190.9632370241373,2710.0871747046854,212.87824998101607,1.0,0.0
3234.6,190.1089438356749,2703.3886916526717,213.14528551986817,1.0,0.0
3232.35,190.83425572442368,2704.6590440488744,209.78251822148758,1.0,0.0
3200.95,200.3647923164147,2655.8832200476854,232.74785291556105,1.0,0.0
3201.55,183.4231446682779,2672.7988696378284,210.00148526468612,1.0,0.0
3186.1,194.04988506756925,2663.312519218109,225.76140602085155,1.0,0.0
3181.4,185.22657533552336,2648.807471859382,209.1625465121678,1.0,0.0
3161.0,176.80646570696862,2646.1692997443815,195.32222073407917,1.0,0.0
3156.4,182.6899588172037,2624.5603268004147,213.10622525534023,1.0,0.0
3153.3,180.91757355506576,2615.344661187764,198.16225769753248,1.0,0.0
3149.7,183.77764024122078,2616.3367800158585,212.92878888997393,1.0,0.0
3137.1,171.31531409102124,2609.5302940327865,197.14232529492128,1.0,0.0
3116.4,188.8815836220645,2584.088003899237,209.6347289583267,1.0,0.0
3113.05,177.62926353266764,2582.2555342872893,197.7211836030109,1.0,0.0
3096.4,172.53600692090484,2561.482661162754,195.5200710800371,1.0,0.0
3090.85,168.66387470818682,2550.912850971462,184.1513500779528,1.0,0.0
3082.0,164.94337146267407,2547.0045605080427,193.06765332512066,1.0,0.0
3043.95,130.7031489976226,2499.983357640805,151.23375978418863,1.0,0.0
3021.6,137.84025842294864,2491.743121214977,148.23339373346937,1.0,0.0
3018.65,131.59718242064545,2475.1757634767046,147.43313358681965,1.0,0.0
3006.9,120.0332848575103,2462.885830526334,139.82993843288938,1.0,0.0
2988.15,132.68017541203517,2440.495672501507,138.02304731685624,1.0,0.0
2983.9,144.70438104887094,2452.1429047304623,164.3231788743536,1.0,0.0
2978.4,122.48282371525879,2428.7640027574657,138.38613726094306,1.0,0.0
2820.65,127.32067885130796,2288.4417588539263,131.36796448413995,1.0,0.0
2818.6,129.20746271424355,2305.069905154634,135.89042278755772,1.0,0.0
2809.1,129.04585068473673,2270.5983558982407,133.61735968174813,1.0,0.0
2811.65,129.47069369674276,2270.581709378918,134.17875687094536,1.0,0.0
2807.65,126.90165068811525,2276.2185800205534,141.6752308089075,1.0,0.0
