,count,count,size,size,components,components
,mean,std,mean,std,mean,std
0.0,1860.0625,7.528737678099897,1559.6982889491724,20.86445823076657,1.6375,0.3920279294079664
0.005,1859.6375,8.504891126694279,1558.2544776717289,18.277715232534433,1.575,0.44649633185388476
0.01,1860.0,8.120092206120411,1558.9762459232975,18.916512269282197,1.5625,0.5211857781872173
0.015,1858.4625,9.136702190783986,1558.005158916468,18.95674403768215,1.7125,0.4653024932841111
0.02,1861.8375,8.754769762234963,1559.5423631479084,17.53801390494302,1.6375,0.5187200717347583
0.025,1860.025,10.088677329383188,1556.1632665030943,18.007416395342144,1.75,0.5063696835418333
0.03,1860.6125,8.409005779824879,1561.5518849393586,17.995425863348586,1.625,0.434859246311452
0.035,1861.0,8.809959399190475,1564.0967012491878,18.163103904424343,1.6125,0.5487456559024361
0.04,1858.75,9.310870404656468,1560.5485333859538,18.245319604628303,1.5,0.4529108136578383
0.045,1858.9375,6.073468467915943,1554.9114835887315,20.275204277715638,1.7875,0.4788809069872415
0.05,1859.05,7.915256284624147,1559.4687404176748,15.90154679303624,1.575,0.46062944671339373
0.055,1857.5375,9.638589307889086,1547.686423874075,20.924628572543337,1.55,0.5163977794943223
0.06,1858.4875,9.064927835712023,1558.108477315434,20.971784927369455,1.6625,0.48552773297431695
0.065,1858.0375,8.505192606993168,1549.9880947174343,15.13870759605257,1.625,0.4902903378454601
0.07,1858.425,8.262946329928692,1553.2301026924285,15.294082451300548,1.6875,0.5272996034465338
0.075,1860.4,9.489670497643532,1556.3863849492027,19.4980753273642,1.675,0.48766844558625366
0.08,1859.125,7.588579475866248,1555.0812670763564,20.976753411643557,1.6,0.5334935656738369
0.085,1859.85,8.349881006368463,1553.9589103332792,18.55028180443401,1.55,0.4355956723196293
0.09,1857.975,7.399714131692464,1554.5038693176461,15.489596869439188,1.65,0.521339497635535
0.095,1858.8875,8.431844020719526,1548.7458271164546,19.854320424110846,1.5125,0.415832498329155
0.1,1860.525,9.437343987503134,1557.8242250205,17.461805242071378,1.475,0.4229020617662603
