,count,count,size,size
,mean,std,mean,std
0.0,2769.0,0.0,1711.1547457058064,2.3027027215986587e-13
0.005,2770.625,5.503786575319456,1713.4592111884042,5.876739260270098
0.01,2769.625,9.239512419147978,1712.7047857454877,9.690984748365473
0.015,2768.9,12.618261085447266,1712.200357741637,13.91340691727037
0.02,2761.25,17.607909062079504,1704.9534032923282,18.83019061779292
0.025,2760.1,22.40169407513408,1703.5128284029543,23.545074822650985
0.03,2756.925,22.960822262592405,1701.124155179356,24.250892488319764
0.035,2753.825,30.700277706920684,1696.7498972566566,32.828577275710224
0.04,2755.175,34.714873410361676,1699.6640334415322,35.634651699200376
0.045,2748.95,35.137057653036635,1693.3617717582524,37.01150208016466
0.05,2746.25,39.15501736195994,1693.415686372411,41.631483994001044
0.055,2743.975,34.70423568325593,1687.9239255540087,36.29453156622058
0.06,2741.15,42.75724559980509,1688.0402622612644,43.85853295852857
0.065,2738.4,37.96138388766494,1682.2482300831714,39.12189753152275
0.07,2736.85,39.89572948034953,1682.5778813100253,43.874669106946904
0.075,2743.75,52.519959575823684,1687.9248486548051,56.07146405200111
0.08,2720.825,57.662985283410976,1663.8469574282085,60.634318895942776
0.085,2730.35,56.38309894067411,1674.2155028756365,59.516056708582965
0.09,2740.95,59.65625894044338,1685.9851339701956,66.47382967186522
0.095,2731.475,60.31710541072246,1677.7540728928755,63.691105909448666
0.1,2729.2,58.29113491995511,1674.0268367288627,59.67927811253193
