lap,nlap,netlsd,portrait
5.0,1.0,6.0,9.0
4.0,0.0,5.0,8.0
4.353727147658887,0.03332543991027407,0.0005384655885147571,0.04097064112271427
2.0,2.0,2.0,2.0
11.0,2.0,1.0,11.0
10.0,3.0,0.0,12.0
4.435291673039418,0.036376161916858,0.0005532691829976947,0.04474805760458421
2.0,2.0,2.0,3.0
0.0,7.0,9.0,2.0
1.0,6.0,8.0,1.0
4.769772576625168,0.043046876229290244,0.0008198524847249878,0.046974224982417045
2.0,2.0,2.0,2.0
7.0,10.0,2.0,13.0
6.0,11.0,3.0,10.0
4.820096710299456,0.04441990460160895,0.0008201773935521391,0.04885525274251155
2.0,2.0,2.0,4.0
9.0,5.0,12.0,5.0
8.0,4.0,7.0,4.0
5.293612127349876,0.04615995948320673,0.0009272249185557519,0.052960366373762384
2.0,2.0,3.0,2.0
2.0,9.0,10.0,0.0
3.0,8.0,11.0,3.0
6.021525228951786,0.046290934390822804,0.00119850214485962,0.05319226452810233
2.0,2.0,2.0,2.0
15.0,16.0,16.0,6.0
12.0,14.0,4.0,7.0
26.596069142568577,0.1574901102089359,0.001578346051546925,0.057647673934924384
4.0,4.0,4.0,2.0
17.0,15.0,17.0,14.0
14.0,17.0,14.0,17.0
29.289368271860535,0.2092400646231708,0.0058855155956208,0.060761126535466066
4.0,4.0,4.0,4.0
13.0,12.0,13.0,18.0
18.0,13.0,15.0,16.0
48.15475548581015,0.25378708520595383,0.0070970743973412746,0.12577328546155028
6.0,4.0,4.0,4.0
19.0,19.0,19.0,19.0
16.0,18.0,18.0,15.0
56.471848468184014,1.0341246112218492,0.04754807640110187,0.20270003557155933
6.0,8.0,8.0,8.0
20.0,20.0,20.0,20.0
21.0,21.0,21.0,21.0
73.45552701003156,2.900389810877284,0.1402806114957096,1.2107599060856795
12.0,12.0,12.0,12.0
