count,count,size,size,components,components
mean,std,mean,std,mean,std
4974.0,0.0,4944.269375331486,9.331218753551675e-13,1.0,0.0
4973.0,0.0,4943.147307234488,0.5599860387290962,1.0,0.0
4968.0,0.0,4938.572813215009,1.3820944525281402,1.0,0.0
4963.0,0.0,4933.74002287441,1.5315938387673094,1.0,0.0
4958.0,0.0,4928.319830073897,2.1637339785831164,1.0,0.0
4953.0,0.0,4922.736851602474,2.715822335126633,1.0,0.0
4948.0,0.0,4917.069179850313,3.486965226620457,1.0,0.0
4943.0,0.0,4912.0856093932325,3.988179664138482,1.0,0.0
4938.0,0.0,4907.03981103002,4.100466130966976,1.0,0.0
4933.0,0.0,4901.910993523537,4.788030884337091,1.0,0.0
4928.0,0.0,4897.437356806891,4.917099135366902,1.0,0.0
4923.0,0.0,4892.203019068174,4.996871778448459,1.0,0.0
4918.0,0.0,4887.648049917091,5.357606626130931,1.0,0.0
4913.0,0.0,4882.909992442264,5.881145576023271,1.0,0.0
4908.0,0.0,4877.749666465561,6.589008040342909,1.0,0.0
4903.0,0.0,4872.996091221985,6.269558520845614,1.0,0.0
4898.0,0.0,4868.128710922028,6.201193172658535,1.0,0.0
4893.0,0.0,4863.260182636177,5.889994572952222,1.0,0.0
4888.0,0.0,4858.3210161457255,6.144309088035332,1.0,0.0
4883.0,0.0,4853.8666612415145,5.99837680535125,1.0,0.0
4878.0,0.0,4849.083722489396,6.498874739365016,1.0,0.0
4873.0,0.0,4844.139194037061,6.682146249206788,1.0,0.0
4868.0,0.0,4838.96611103083,6.738188989548971,1.0,0.0
4863.0,0.0,4833.870936435074,7.220602704220003,1.0,0.0
4858.0,0.0,4828.770563725747,7.221716286159986,1.0,0.0
4853.0,0.0,4823.698087067836,7.338703428306477,1.0,0.0
4848.0,0.0,4818.752968816505,7.127700540031205,1.0,0.0
4843.0,0.0,4813.7012073929745,7.400644893647546,1.0,0.0
4838.0,0.0,4808.514026324168,7.363802044519923,1.0,0.0
4833.0,0.0,4803.5467907829325,7.168646985828898,1.0,0.0
4828.0,0.0,4798.447968156697,6.9315400376713825,1.0,0.0
4823.0,0.0,4793.942900725504,6.873093105318636,1.0,0.0
4818.0,0.0,4788.877526573442,7.000712235979365,1.0,0.0
4813.0,0.0,4783.91184061103,7.377421157926901,1.0,0.0
4808.0,0.0,4778.956035935627,7.899509612759827,1.0,0.0
4803.0,0.0,4774.423950899262,7.981379509498405,1.0,0.0
4798.0,0.0,4769.488812593062,8.295186099337945,1.0,0.0
4793.0,0.0,4764.51710029738,8.22977772493582,1.0,0.0
4788.0,0.0,4759.90318203964,8.429035647374295,1.0,0.0
4783.0,0.0,4754.58710169147,8.22659029606543,1.05,0.22360679774997905
4778.0,0.0,4749.735165216904,8.360199130388803,1.05,0.22360679774997905
4773.0,0.0,4744.44050737267,8.892579702460756,1.05,0.22360679774997905
4768.0,0.0,4738.797006405137,9.412201302312754,1.05,0.22360679774997905
4763.0,0.0,4733.605071663724,9.402622943568662,1.05,0.22360679774997905
4758.0,0.0,4728.70719213295,9.161398401193566,1.05,0.22360679774997905
4753.0,0.0,4723.558151575725,9.807104613720998,1.05,0.22360679774997905
4748.0,0.0,4718.63371613132,10.059390773226852,1.05,0.22360679774997905
4743.0,0.0,4713.567361867313,9.973244104953352,1.05,0.22360679774997905
4738.0,0.0,4708.277343129084,10.119912989403309,1.05,0.22360679774997905
4733.0,0.0,4703.465315869891,10.348204832831641,1.05,0.22360679774997905
4728.0,0.0,4698.704777765284,10.340524366946337,1.05,0.22360679774997905
