count,count,size,size,components,components
mean,std,mean,std,mean,std
1857.675,5.490482195294153,1628.0594820503425,11.423252478766068,1.6625,0.3371221081291965
1856.375,6.632009697789875,1628.9495225679345,9.601443943305469,1.8125,0.29103942579729825
1841.325,80.58413795204167,1613.204037460406,77.11559298671096,1.85,1.0680774661438235
1838.5375,83.01645663582866,1614.7203855073446,75.69205622581347,1.875,0.9750168689498875
1835.05,79.21135119346681,1607.2869034763628,72.53303457060704,1.8625,1.375239213641337
1835.075,81.97833876284508,1607.0318313342036,83.41232681490948,1.875,1.2394289856729654
1802.6625,148.42165829593668,1581.6670894583333,136.495558133744,3.7125,7.238091399344386
1803.1875,149.30287291891642,1578.086343220206,135.55216562963562,3.425,6.556987032728402
1802.5,150.15548958540137,1580.7245020959094,132.96574591305935,3.825,7.62574413970273
1809.7,156.20747000131115,1586.8812425258395,141.94500369890173,3.85,6.886485621166018
1813.7,155.88696984809553,1586.5676807825778,141.25551880663238,3.55,5.639148871948674
1817.5875,165.83116562763783,1594.7173368246847,151.81907419286426,3.275,6.750682226732035
1829.325,185.08387323475523,1607.7345857445102,170.69080818893806,3.05,5.202226244093661
1835.8875,205.4934605663312,1613.178703449585,194.27833739483293,3.375,6.68683899832153
1830.1,198.43780346019068,1606.4553491624342,185.48471150022553,3.4,6.126087443745891
1832.15,190.8801015242153,1614.3953546416756,177.2089141057873,4.15,7.080551569356429
1829.7,192.31819165670538,1605.1779243626913,179.90786160503103,4.1875,6.94805680899722
1831.4125,191.9247775308419,1607.3343095692094,176.79941624904419,4.5375,8.187874137695134
1818.0375,197.36286503144672,1597.316856223052,181.99741511186267,4.1625,7.154440560717664
1824.4125,209.4236180787891,1603.6533661883313,196.27661181059784,4.2,7.393809644062497
1828.3,214.81307051284818,1607.6049053204747,203.44584524489719,4.5,7.957121934071654
1822.8375,205.57874459744897,1599.5410478480594,190.16579148839287,4.2625,7.257697818976687
1825.525,206.49942493866658,1601.202796447339,192.8629866738695,4.1875,7.294949135856729
1824.9125,205.79090491577278,1600.7507832986885,188.27572829176952,4.2375,7.347338848718952
1824.8125,204.92612396396595,1603.3905080880597,191.73201460726554,4.1375,7.167394648868694
1837.95,220.0203429589852,1609.972235244143,202.14203833702746,4.3125,7.774314574627345
1823.8,256.5109595483613,1599.7322569619994,240.47719915038311,4.55,7.443029236173019
1822.975,255.6798072116558,1601.1173717143245,238.16019336642717,4.6375,7.728737811434332
1825.8,257.7252795843708,1604.8261108324925,237.36458033223767,4.2375,6.73144379210848
1824.525,256.4188583568935,1602.6785065442116,239.90167004819654,4.6625,7.946894047362151
1822.5625,213.54800204551572,1603.766362786942,198.99603804984116,4.6375,8.39700565364633
1824.3125,215.69630018726258,1601.3866096413751,199.34534316435787,4.375,7.288464209030308
1823.6375,214.06899826863497,1600.782619806402,196.2072932392432,4.325,7.229826743210525
1835.0,209.4773885549213,1610.9613227527445,193.14256853161615,4.15,7.26762829626224
1816.3625,218.87878877961563,1595.3514755314018,201.85513722719438,4.6125,7.8188684569679525
1824.925,226.11393989710027,1602.7587835170457,206.83891675995284,4.65,7.678318757864147
1833.6125,222.29182270337674,1609.3356742475596,203.09926850325803,4.4875,7.605172668374432
1812.7,246.47984330953867,1591.4752082788964,229.5834992748667,4.425,6.837926355416915
1810.4625,240.64244160984435,1589.4190666239988,227.6870793017561,5.1,7.136544202756312
1800.1,258.829594927872,1583.2293087673766,241.70336086691776,4.875,6.196614100925559
1799.8125,259.1714388275594,1580.741924931534,240.91221047815256,5.1125,6.771396400339174
1798.0875,259.12251058798626,1579.2696713838388,239.05433533136693,5.75,7.957535323267665
1803.575,269.7947453255218,1579.1455827089114,247.68066216592877,5.7375,7.431474228612134
1800.175,267.4696748674216,1585.440610845521,254.7303161360431,5.6125,7.500208330439896
1803.05,269.1177667275445,1581.1907260171142,248.21780942347172,5.3,6.970143092996162
1817.7,254.9268419308608,1594.047113677686,238.92215991008274,5.2875,7.311794275437171
1805.6875,250.95729709874,1583.5991833103005,232.49248013123793,5.65,8.237590347719538
1813.325,236.53730233250073,1595.424241796673,219.5467746207914,5.7625,8.79723154718215
1806.825,236.22137949723975,1585.4390938569154,221.5838206032357,5.5625,8.038916446361347
1801.025,246.57498459153513,1578.8534165498982,229.59788987869064,5.7,8.171919184493612
1808.0625,244.8290202930028,1587.7510631981236,224.22744307340432,5.6,8.544542733599954
