,count,count,size,size
,mean,std,mean,std
0.0,3519.0,0.0,2538.8477479385692,2.3027027215986586e-12
0.005,3517.425,1.7377778324261683,2538.03919406768,1.0646688915811768
0.01,3518.1,2.8084122715832684,2538.8477781163338,1.6643368703426034
0.015,3517.225,2.5967188369072076,2538.425727146993,1.8967438313606733
0.02,3518.6,3.053371402741063,2539.779580528135,2.0000818243050045
0.025,3519.15,4.079655591295636,2540.3838556850183,3.1561668529222002
0.03,3519.475,3.99991987099229,2540.8873712438826,3.30707990813422
0.035,3519.325,4.94786926428036,2540.790200543842,3.7678319063175403
0.04,3519.275,5.5700089766534475,2541.099172824277,5.38803446625584
0.045,3519.825,5.443827367786054,2542.935488616531,4.633791779401955
0.05,3520.775,4.827737698140951,2544.3839470867633,4.893336522107992
0.055,3519.125,6.247820132674788,2543.4701061367305,6.539495292006751
0.06,3520.475,5.887786140904375,2544.5222798494124,5.537475187990577
0.065,3520.3,5.711885942982495,2547.553807073479,7.084187097385554
0.07,3519.75,6.3760368689214895,2546.623459459496,5.644389662984398
0.075,3518.25,6.045765629867077,2547.6224036640615,5.932386859062116
0.08,3518.4,7.070342536945689,2548.0612083550386,7.54007978233805
0.085,3517.425,5.960930490090648,2550.7047356893695,6.849207048026854
0.09,3517.8,7.736692462312966,2552.367899037942,6.237416962502524
0.095,3518.9,8.634456911343417,2551.7292193065537,8.211176464845236
0.1,3517.85,7.283807119484025,2553.919769317229,8.42418027219014
