,count,count,size,size
,mean,std,mean,std
0.0,4975.0,0.0,4946.111833209421,0.0
0.005,4975.0,0.0,4946.141552570587,0.24099037589460848
0.01,4975.0,0.0,4946.007154058241,0.6444897925818199
0.015,4975.0,0.0,4946.384323225687,0.8537743710213646
0.02,4975.0,0.0,4946.167472563676,1.3988911816784662
0.025,4975.0,0.0,4946.137338230937,2.2662591109096497
0.03,4975.0,0.0,4946.021768592422,2.2455867844422137
0.035,4975.0,0.0,4946.786531695472,2.602608354920306
0.04,4975.0,0.0,4945.7290737105695,3.127071809409043
0.045,4975.0,0.0,4946.090065755348,3.176665616924309
0.05,4975.0,0.0,4946.695945380072,3.1166897417441164
0.055,4975.0,0.0,4947.423359400795,3.7200148573443395
0.06,4975.0,0.0,4947.179471801223,3.779567170813993
0.065,4975.0,0.0,4947.288632578451,4.39469495738707
0.07,4975.0,0.0,4945.7729796409785,4.24391944846704
0.075,4975.0,0.0,4947.535522566817,5.661805991859553
0.08,4975.0,0.0,4946.0102677074265,5.521547989413108
0.085,4975.0,0.0,4947.301185206825,5.632471922359673
0.09,4975.0,0.0,4948.573286212223,6.224310434775243
0.095,4975.0,0.0,4948.028596549053,6.922832481644319
0.1,4975.0,0.0,4951.571538059514,6.461195782874267
