count,count,size,size,components,components
mean,std,mean,std,mean,std
4975.0,0.0,5039.985192156595,9.586915924860112e-13,1.0,0.0
4974.9,0.3162277660168379,5039.95493624593,0.09567759038306112,1.0,0.0
4974.6,0.5163977794943222,5039.626407275926,0.7410776549021356,1.0,0.0
4974.4,0.5163977794943223,5039.321370987076,0.9733718252929229,1.0,0.0
4974.2,0.6324555320336759,5039.292898703903,0.986984698413409,1.0,0.0
4973.8,0.7888106377466155,5039.133514484381,1.1603561143332397,1.0,0.0
4973.7,0.9486832980505139,5039.056946384504,1.1575253432149828,1.0,0.0
4973.4,0.9660917830792958,5038.423595282214,1.5162302368122929,1.0,0.0
4973.1,1.1005049346146119,5038.187412139454,1.64321051284695,1.0,0.0
4972.8,1.3165611772087669,5037.865207626597,2.0728236538698943,1.0,0.0
4972.7,1.4181364924121767,5037.667589306859,2.3048345448915804,1.0,0.0
4972.5,1.2692955176439846,5037.490553912854,2.173898337296564,1.0,0.0
4972.5,1.2692955176439846,5037.490553912854,2.173898337296564,1.0,0.0
4972.4,1.429840705968481,5037.477608719246,2.1984981617122346,1.0,0.0
4972.1,1.66332999331662,5037.108855613221,2.594512210346025,1.0,0.0
4971.9,1.66332999331662,5036.482724254144,2.9464980146561954,1.0,0.0
4971.6,1.577621275493231,5035.975264289369,3.580358785463637,1.0,0.0
4971.0,1.632993161855452,5035.264633043887,3.5689491649610963,1.0,0.0
4970.8,1.8737959096740262,5035.249943164346,3.594325166745367,1.0,0.0
4970.6,1.9550504398153572,5035.019819716313,3.7985872857327183,1.0,0.0
4970.5,1.90029237516523,5034.89506946301,3.679833347317193,1.0,0.0
4970.2,1.9888578520235065,5034.4107431708635,3.549852396931942,1.0,0.0
4969.9,1.9692073983655907,5033.905155518841,3.5508016363995893,1.0,0.0
4969.8,1.8737959096740262,5033.846037934824,3.4762696637348838,1.0,0.0
4969.7,1.888562063228706,5033.829270430692,3.4862891697792264,1.0,0.0
4969.4,1.776388345929897,5033.603785788053,3.5451696388954037,1.0,0.0
4969.3,1.828782229912694,5033.543014753548,3.55813004225455,1.0,0.0
4969.3,1.828782229912694,5033.543014753548,3.55813004225455,1.0,0.0
4969.2,1.9321835661585918,5033.541666917136,3.5598519781853875,1.0,0.0
4969.2,1.9321835661585918,5033.541666917136,3.5598519781853875,1.0,0.0
4969.0,1.8856180831641267,5033.280702646496,3.5413173940064033,1.0,0.0
4968.9,1.9692073983655907,5033.277771722957,3.5408036457625296,1.0,0.0
4968.8,2.043961295567452,5033.12641993046,3.605331168725459,1.0,0.0
4968.7,2.1628170930011112,5032.951595510177,3.755167741628039,1.0,0.0
4968.3,2.110818693198342,5032.571682081381,3.645036790004562,1.0,0.0
4967.6,2.1186998109427604,5032.073321166607,3.3974599353232007,1.0,0.0
4967.5,2.0138409955990952,5031.877486258522,3.294274264282822,1.0,0.0
4967.4,2.1705094128132942,5031.75879254483,3.3422170643273996,1.0,0.0
4967.3,2.213594362117866,5031.263309164661,4.021789463942429,1.0,0.0
4967.3,2.213594362117866,5031.263309164661,4.021789463942429,1.0,0.0
4967.1,2.2335820757001272,5031.133680714561,3.854040420830454,1.0,0.0
4966.8,2.0439612955674527,5030.949994476769,3.6103267177742144,1.0,0.0
4966.5,1.90029237516523,5030.4283301246205,4.072557896542311,1.0,0.0
4966.0,2.1081851067789197,5029.637368389661,4.383954909341301,1.0,0.0
4965.7,1.766981104093143,5029.177778708646,4.052354725283015,1.0,0.0
4965.3,2.110818693198342,5028.770724279979,4.217464765673118,1.0,0.0
4965.0,2.494438257849294,5028.64363134266,4.329603564711113,1.0,0.0
4964.9,2.685351208149711,5028.636751324852,4.3353339561742406,1.0,0.0
4964.6,2.8751811537130436,5028.380806570632,4.316284912206794,1.0,0.0
4964.2,2.616188916046478,5027.839384506774,4.275638248548738,1.0,0.0
4964.0,2.943920288775949,5027.781953747202,4.353017524802322,1.0,0.0
