,lap,lap,nlap,nlap,netlsd,netlsd,portrait,portrait
,mean,std,mean,std,mean,std,mean,std
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.7340629145442279,0.20950086251317207,0.061986181809984484,0.0074260377825152634,0.0006358900488377544,0.0003812181455984392,0.02002407393831731,0.0005658172555420421
0.01,0.9133937764380841,0.1510120980863954,0.0759836715735687,0.008122541640708409,0.000864315185241455,0.0006085445930302374,0.021597214124677515,0.0006522379307519953
0.015,1.023783769644724,0.1715815645397198,0.09243691889030005,0.01021023282274737,0.0009939588092442717,0.0006855852593782055,0.02219884655598707,0.0007622966604150685
0.02,1.115650747852656,0.26972248923839287,0.1024698763635927,0.006860793938019792,0.0011444023638582722,0.0005887055312414345,0.022577230113147953,0.0007504592669662011
0.025,1.2922299345592543,0.2732895526981771,0.11254855429148374,0.012280663011583383,0.002388167423239045,0.002771411644147254,0.02302398318686051,0.0008939963559627221
0.03,1.2884612614615276,0.30877678475030096,0.12074660593805042,0.016250654056048055,0.0025714767623269677,0.002607389585903488,0.023470724481085774,0.0006909315077142958
0.035,1.4682409709999125,0.31792544927553124,0.14082246143934543,0.017047745779092044,0.0046525411526285925,0.004394901992187093,0.0238997242605526,0.0011041459199108332
0.04,1.3953856227829275,0.26975899923384866,0.1375509428902914,0.013798590006653632,0.004427952153117585,0.003668292132473081,0.024339762228363915,0.0010500126633742448
0.045,1.4272055035121562,0.23922251381434578,0.1500131612581403,0.02378991276810882,0.004746223339271655,0.0043352978241773775,0.02448888107620259,0.0012102877062919483
0.05,1.5692858909025906,0.19336626010127153,0.1515305592109845,0.01792424983342341,0.007780068384944601,0.00474932131111406,0.02496900166449922,0.001314486815889766
0.055,1.7790916745006509,0.3735016590275061,0.1598087150676091,0.019237470523496975,0.005682779060959025,0.004755528785850557,0.0252949555429188,0.0010124372180660873
0.06,1.8490820459634036,0.44010710443492634,0.16892208490141064,0.019127232668796745,0.005389115415365207,0.004158231902147385,0.02556648057581005,0.0013764501306573133
0.065,1.980171544641021,0.5318005021503166,0.1783235034860378,0.025761062927409612,0.007043270061124753,0.005734353087296732,0.026075101496095255,0.0021190896705190108
0.07,1.642257043908339,0.2819250630826544,0.1694305464204097,0.023570658559036072,0.007323751609846174,0.005097943920415942,0.025957352820551192,0.001443443010352251
0.075,1.9217349970358923,0.41287968449554485,0.18161592711421942,0.02832569955166349,0.009678643363203156,0.007043169073235406,0.02628371866441271,0.002258279611069298
0.08,1.8059711767111502,0.44116248021438853,0.1857604057937565,0.02859559152435426,0.009483778292784694,0.008175975653137286,0.02751153858441,0.004117903690482972
0.085,2.140455584172497,0.7502258760614264,0.1900862785255274,0.030085844165552714,0.010039578684722727,0.008240679275848675,0.027350835684848675,0.00098896348342737
0.09,1.8274753003964967,0.4374191496967463,0.19843299881050686,0.027091692293207945,0.008686333736554575,0.004783524738298849,0.02835943307120354,0.002597164907221111
0.095,2.093486737085018,0.34119519046794033,0.20085296558291912,0.022917785765239927,0.008801842936172173,0.005586626696066973,0.028994505947915528,0.0033233738480346513
0.1,2.0998069494425606,0.5024730554486904,0.20594890813465563,0.040218415777589285,0.014650399534139439,0.008736865533182888,0.02937259684467966,0.005331107905096695
