,,0
1.5,mean,25.58528646817879
1.5,std,8.911225559450603
1.5,mean,0.3235366489242594
1.5,std,0.15571941225460675
1.5,mean,0.023883099165738164
1.5,std,0.02097161636135156
1.5,mean,0.9812467995485816
1.5,std,0.005650559544888725
3.0,mean,38.89017066495995
3.0,std,0.37882730458005287
3.0,mean,0.4556623440781306
3.0,std,0.012401580209375493
3.0,mean,0.05577228402681528
3.0,std,0.0016925292016487362
3.0,mean,0.9967039237182329
3.0,std,0.0015395198134402202
