,lap,lap,adj,adj,nlap,nlap,netlsd,netlsd,portrait,portrait
,mean,std,mean,std,mean,std,mean,std,mean,std
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.15213628358796688,0.15309937458795672,36.98968650651953,3.0338131579405063,0.011005102693612337,0.00674971523203043,0.00020659812635406586,7.821710238157346e-05,0.025478683549700776,0.009242608908537056
2,0.16249831649360397,0.14636405131066152,36.8455684356544,2.9629819237572095,0.01361947753198434,0.006364794758165072,0.00033223411480626014,0.0002494151803084123,0.03952084203180288,0.020541140913636312
3,0.17105191018311722,0.14685841951051828,36.944193939041064,3.1330068485362452,0.021666238070464073,0.016511557080626443,0.0005981841258320319,0.00041541704364055337,0.04788401189891375,0.019071580468076096
4,0.18320479333220832,0.13495537342391214,37.77847523274697,3.0876079258918647,0.023488124614022842,0.01619296205747537,0.0006181212121464791,0.00038296712273255427,0.05296753521627666,0.020154285737073136
5,0.19743920699491652,0.13712831947808965,36.436332666225276,3.156864703760947,0.026684373899817992,0.014494913938557792,0.0006336886926906181,0.0002373872225679597,0.06812995830703664,0.023107701560188126
6,0.2244031571024835,0.14878630246735577,35.15381001844619,1.9792477855077435,0.02816250340250288,0.012609302369144001,0.0006650515433592269,0.0001534383390079725,0.0833113641929982,0.022901042299862225
7,0.23538114360126797,0.14660093410017985,35.18350683396305,2.936914319270826,0.028967270173086746,0.01393751300662112,0.0007435706123376369,0.00021108826911454758,0.08638832401756111,0.024514365176417908
8,0.3215028398793843,0.31541979391065345,36.39740478919321,2.709017311420576,0.03216270589224393,0.014831654696517158,0.0007119693218412387,0.00021083316708501618,0.08983754851116506,0.027839669367768313
9,0.42108990827513065,0.5164060529661438,35.53385630448979,2.3052990108471683,0.03478894463050798,0.01593045802289241,0.0008099681819830863,0.00026871482263010816,0.10211362807201971,0.04221001222223142
10,0.42459508069496793,0.5139015852697674,35.55197344811793,2.332931920494583,0.03513728467634518,0.016152947837680988,0.0008087820924525671,0.0002667753839503808,0.10698343385662809,0.04385998704839529
11,0.64168909302153,0.5372546805083908,36.81820863412012,2.236866269114129,0.03662871983579455,0.01432465765289196,0.0007614022129036178,0.0002477133572677419,0.12035776649959266,0.042657172440084684
12,0.6406672167390381,0.5317767653360537,37.46103210825267,2.1067869988801804,0.03609115411810321,0.013768465391041164,0.0006343416725146263,0.00016595898079657217,0.12026250454244318,0.04311379057200123
13,0.7967431797436137,0.5295737574728693,35.651664470238146,2.9411704542255768,0.03757945416359816,0.009973463626656996,0.0008964696944817668,0.00060518986464023,0.12443207650394902,0.040685256000270696
14,0.7967431797436137,0.5295737574728693,35.651664470238146,2.9411704542255768,0.03757945416359816,0.009973463626656996,0.0008964696944817668,0.00060518986464023,0.12443207650394902,0.040685256000270696
15,0.7926544163555167,0.5254945235458452,35.50847640706819,3.6606153624036613,0.03803544759415904,0.010234406326514024,0.000854567063677481,0.0005686030439049461,0.1295102100222196,0.04360550893732001
16,0.7942991756102786,0.5237206714455256,36.201947339142954,3.063581815319863,0.03838028310821893,0.009994309722770765,0.0008854165356607057,0.0005933665593926383,0.13330378315437483,0.037314804572905626
17,0.8252389396103956,0.5491448698418696,36.322714975270834,2.085610869869752,0.0375541967916212,0.009308960783641587,0.0009354575068167588,0.0005604284816313309,0.1302846292857104,0.03421729255896139
18,0.8570056690115078,0.5985741916280407,36.74828511575643,2.193548022318835,0.03826130831235862,0.009568880493055397,0.0009209638389835845,0.0005793876336293952,0.1330918561162951,0.03239153445743342
19,0.8568304382047935,0.5981872381372605,36.325847969179556,2.294217345015163,0.03836456207348181,0.0093618618646007,0.0009171096569915739,0.0006115416210494202,0.13270379377714558,0.030948216875910237
20,0.8715541002672959,0.6081840836512865,35.732120206959614,1.5970576588527317,0.0389980098215025,0.008597268707316643,0.0007992107817642582,0.00048395574573403225,0.13382091007340552,0.03028221090698033
21,0.8683972474591334,0.6035527927384272,35.37077828048006,1.954228703027848,0.03911735739797971,0.008713615589749877,0.0008243256753249313,0.0004906535007402641,0.1342829480755815,0.030871877488153957
22,0.8852716450760477,0.5431286418070519,34.73315491809859,3.1144593936185254,0.0396167105893447,0.009215387743838219,0.000759878930009887,0.0005629819114938049,0.14171785304648593,0.021231656972156013
23,0.908809490672529,0.5551059430690816,36.03348989875083,3.1630353592316625,0.03960509008261093,0.009275575723236987,0.0007362545909504363,0.0005530525320772255,0.1438565074282012,0.023110076356450966
24,0.9270667157513163,0.5653175287085732,37.14796008127254,1.8249576780469114,0.04164947504503058,0.011173408532751937,0.0007972933103120633,0.00037731483674581924,0.1459000750676422,0.020868868594112
25,0.9212543510608466,0.5561933840078904,36.804415943010646,1.5186430399874158,0.04140856675390229,0.010751655345413636,0.0007706284484278242,0.0004552446473536578,0.1449138043900879,0.020738801020085164
26,0.9220883544780412,0.5504511293860618,37.170496939173844,2.515847993698067,0.04252908629978016,0.012484376091184031,0.0008702964518974834,0.0005435123709470317,0.14576346347075775,0.021423470500181903
27,0.9191612290881647,0.5496443205191696,35.908544577172066,3.6826602240548767,0.04433645851059,0.009964170632584136,0.0009281806021783339,0.0005183473987319988,0.14720886919506,0.017849433485630617
28,0.9177086869643516,0.5480925681125544,35.35449614430777,2.303044551016241,0.045023315346120925,0.009441588246409333,0.0010258627823454755,0.0006686179623637171,0.14753778536301998,0.01659454801549487
