,lap,lap,adj,adj,nlap,nlap,netlsd,netlsd,portrait,portrait
,mean,std,mean,std,mean,std,mean,std,mean,std
0,0.0,,0.0,,0.0,,0.0,,0.0,
1,0.07583183823681017,,78.80476653291448,,0.0033135066030526255,,4.5049593209516646e-05,,0.009264950828111285,
2,0.08088702831331634,,78.67689920241406,,0.005662595457237801,,9.122576841477218e-05,,0.017080962397859265,
3,0.14007104101822052,,78.41967818535556,,0.011282453598445203,,0.0001888315539992507,,0.019964375775901308,
4,0.1865361789503899,,82.20107991924215,,0.014392695317591074,,0.0002672480983754016,,0.029174349293309247,
