1	12
1	21
1	29
1	31
1	53
1	63
1	92
1	96
1	97
1	108
1	110
1	122
1	144
1	161
1	188
1	230
1	284
1	310
1	361
1	415
1	443
1	494
2	41
2	48
2	59
2	67
2	68
2	87
2	94
2	100
2	102
2	141
2	155
2	182
2	232
2	239
2	245
2	262
2	268
2	309
2	421
2	432
2	436
2	499
3	4
3	12
3	13
3	14
3	16
3	25
3	27
3	43
3	54
3	68
3	87
3	96
3	130
3	181
3	217
3	349
3	386
3	404
3	414
3	479
3	495
4	14
4	16
4	34
4	36
4	54
4	59
4	65
4	72
4	138
4	141
4	179
4	232
4	239
4	268
4	296
4	330
4	349
4	398
4	418
4	455
5	10
5	26
5	44
5	66
5	76
5	117
5	140
5	165
5	179
5	185
5	194
5	211
5	237
5	253
5	275
5	407
5	410
5	422
5	438
5	453
5	487
6	22
6	36
6	39
6	44
6	47
6	52
6	66
6	73
6	133
6	154
6	165
6	220
6	222
6	237
6	276
6	298
6	317
6	352
6	375
6	410
6	456
7	15
7	17
7	18
7	32
7	37
7	38
7	40
7	42
7	86
7	94
7	201
7	224
7	295
7	320
7	332
7	383
7	390
7	435
7	440
7	461
8	34
8	61
8	75
8	89
8	91
8	124
8	147
8	175
8	219
8	235
8	258
8	269
8	336
8	341
8	344
8	380
8	450
8	478
8	481
8	497
9	11
9	34
9	75
9	147
9	172
9	190
9	193
9	204
9	219
9	226
9	263
9	274
9	325
9	343
9	380
9	407
9	431
9	436
9	440
9	476
10	44
10	66
10	76
10	103
10	106
10	126
10	127
10	140
10	149
10	157
10	165
10	170
10	194
10	216
10	222
10	275
10	332
10	379
10	466
11	15
11	33
11	45
11	61
11	148
11	151
11	175
11	190
11	204
11	208
11	209
11	235
11	293
11	364
11	389
11	420
11	436
11	483
12	16
12	25
12	77
12	79
12	109
12	116
12	124
12	126
12	173
12	203
12	245
12	254
12	268
12	287
12	372
12	485
12	499
13	16
13	48
13	49
13	54
13	68
13	72
13	74
13	77
13	100
13	128
13	198
13	206
13	267
13	302
13	349
13	388
13	455
14	27
14	51
14	56
14	77
14	92
14	100
14	102
14	198
14	206
14	245
14	254
14	314
14	381
14	386
14	408
14	472
