lap,nlap,netlsd,portrait
13.0,7.0,5.0,44.0
14.0,6.0,0.0,46.0
0.6413100126630507,0.021161945900360937,1.1637243244858999e-05,0.02551032549391228
2.0,2.0,2.0,2.0
16.0,14.0,28.0,49.0
54.0,13.0,26.0,48.0
0.7369336124896455,0.021481561614572143,1.2360410140074337e-05,0.02681531499664465
3.0,2.0,2.0,2.0
4.0,0.0,38.0,53.0
2.0,2.0,37.0,55.0
0.766131745293034,0.02165168794563207,1.8011546544365355e-05,0.02775259833559386
2.0,2.0,2.0,3.0
0.0,9.0,1.0,43.0
1.0,10.0,2.0,45.0
0.7915195631841613,0.021656625202127074,2.2214059453946155e-05,0.02822862834336464
2.0,2.0,2.0,2.0
15.0,5.0,14.0,42.0
17.0,1.0,13.0,54.0
0.8007307564478955,0.021872179505859436,2.5914762967021443e-05,0.02827682636744961
2.0,2.0,2.0,3.0
11.0,11.0,35.0,50.0
6.0,57.0,34.0,37.0
0.8055823661962235,0.021908194905843524,3.354044336151612e-05,0.028572575819830005
2.0,3.0,2.0,2.0
24.0,15.0,57.0,52.0
29.0,16.0,9.0,56.0
0.8452859528736286,0.022187323941454923,3.9638735922530755e-05,0.02862069983303122
2.0,2.0,3.0,4.0
33.0,17.0,19.0,41.0
35.0,55.0,23.0,40.0
0.8566298969069076,0.022339142524861865,4.1755266403709086e-05,0.029419670975510376
2.0,3.0,2.0,2.0
12.0,58.0,43.0,60.0
55.0,4.0,45.0,51.0
0.8782439532662942,0.022555022161670785,4.327496286994282e-05,0.029582214779958267
4.0,3.0,2.0,5.0
7.0,56.0,42.0,59.0
9.0,62.0,47.0,38.0
0.8797461651403357,0.023163663834746055,4.74911606651318e-05,0.029861630098842552
2.0,5.0,2.0,3.0
3.0,54.0,10.0,39.0
57.0,59.0,60.0,61.0
0.8883405742544548,0.02345654961370602,5.3501882840333405e-05,0.03005645862183976
3.0,5.0,4.0,3.0
60.0,52.0,20.0,57.0
28.0,53.0,18.0,47.0
0.9023730881024676,0.0239511575432843,5.8805221448111005e-05,0.03013261656154429
3.0,2.0,2.0,3.0
64.0,35.0,53.0,36.0
5.0,33.0,50.0,62.0
0.9105315393936537,0.02401065406544661,5.9022840113214996e-05,0.031026873201259766
4.0,2.0,2.0,6.0
31.0,44.0,56.0,58.0
61.0,45.0,40.0,65.0
0.9490901088513817,0.024054742059894,6.189812681992741e-05,0.031426125036792076
3.0,2.0,3.0,6.0
65.0,60.0,7.0,66.0
25.0,61.0,6.0,63.0
0.9616537051015406,0.024128919897984484,6.704410953629543e-05,0.03230278093362243
4.0,5.0,2.0,9.0
49.0,37.0,54.0,0.0
48.0,38.0,11.0,2.0
0.9918023344578151,0.024137290724754713,7.768517500919828e-05,0.033612282511759115
2.0,2.0,3.0,2.0
62.0,51.0,16.0,15.0
58.0,50.0,15.0,3.0
1.0167129537627737,0.02414301510986467,7.859978559436026e-05,0.0343702951370759
6.0,2.0,2.0,2.0
20.0,69.0,17.0,17.0
18.0,40.0,58.0,1.0
1.018360502395745,0.024900229974145687,8.316204417234253e-05,0.03447284283420102
2.0,3.0,3.0,2.0
21.0,41.0,52.0,14.0
23.0,36.0,66.0,13.0
1.0240785515921664,0.0249918722063145,9.318918873693655e-05,0.03533119832628856
2.0,2.0,3.0,2.0
50.0,21.0,46.0,4.0
51.0,22.0,62.0,5.0
1.0264978475454296,0.025180053570603586,9.585420554215947e-05,0.03598885640028736
2.0,2.0,3.0,2.0
72.0,27.0,59.0,12.0
22.0,24.0,33.0,16.0
1.047803740873525,0.02520373408522653,0.00015090445381057743,0.03615812131090058
3.0,2.0,3.0,2.0
45.0,23.0,22.0,64.0
43.0,19.0,61.0,68.0
1.049237539656503,0.02537710285183817,0.00015499218109264398,0.03629172941743963
2.0,2.0,3.0,12.0
8.0,67.0,41.0,71.0
63.0,43.0,36.0,70.0
1.0501067792819971,0.0254597440137716,0.00017062274410346154,0.036570615814668646
3.0,3.0,2.0,4.0
26.0,68.0,29.0,74.0
68.0,12.0,27.0,72.0
1.0616007529561284,0.025474252126480707,0.00017418810073042108,0.036611282577118896
5.0,6.0,2.0,4.0
56.0,48.0,64.0,11.0
66.0,65.0,69.0,6.0
1.0630190098872683,0.02556785667014509,0.00017421452628697256,0.03692135946949755
6.0,3.0,7.0,2.0
76.0,28.0,25.0,73.0
59.0,29.0,24.0,69.0
1.07132526107084,0.0256233628035848,0.00017608132506202772,0.03786206151213589
5.0,2.0,2.0,4.0
67.0,70.0,49.0,8.0
30.0,49.0,72.0,9.0
1.081215922008955,0.025627709471643705,0.00018002490582917454,0.03792107938879513
4.0,3.0,4.0,2.0
52.0,66.0,73.0,26.0
73.0,31.0,44.0,28.0
1.0899783181249347,0.0257430503255313,0.0002097485635738659,0.038242295235370635
3.0,3.0,4.0,2.0
34.0,47.0,3.0,78.0
80.0,42.0,4.0,10.0
1.1106992734874848,0.02579184466538388,0.0002770907688968008,0.03857605520537542
5.0,2.0,2.0,3.0
47.0,46.0,32.0,81.0
75.0,76.0,74.0,27.0
1.123300000987383,0.02632915045768138,0.0002982571114609578,0.03880670176173101
3.0,4.0,4.0,3.0
38.0,74.0,71.0,25.0
40.0,25.0,12.0,24.0
1.1292525022209026,0.026523652641233197,0.0003117609115103202,0.039241879868302874
2.0,3.0,4.0,2.0
42.0,39.0,68.0,7.0
44.0,72.0,8.0,82.0
