count,count,size,size
mean,std,mean,std
2986.0,0.0,4145.666324032111,0.0
2986.0,0.0,4145.432165107064,0.553835309399426
2986.0,0.0,4145.513440319453,0.5588679254424019
2986.0,0.0,4145.382209825924,0.8588305643925828
2986.0,0.0,4145.471944471711,0.8096209346263787
2986.0,0.0,4145.435490955494,0.8989355083572854
2986.0,0.0,4145.675944192475,0.9010779142692905
2986.0,0.0,4145.475175345158,1.0817412130841215
2986.0,0.0,4145.424830991791,1.1293003526846213
2985.95,0.22360679774997894,4145.336899206096,1.3917530676937389
2985.9,0.30779350562554625,4144.249916140127,3.937006027063253
2985.85,0.36634754853252327,4145.054702272035,1.4118683133939807
2985.85,0.36634754853252327,4145.3411715228485,1.2977311707882904
2985.75,0.4442616583193193,4145.229996976343,1.5458926566321884
2985.75,0.4442616583193193,4144.906804454181,1.29646775858531
2985.7,0.5712405705774795,4145.195272642427,1.8137323999068582
2985.65,0.5871429486123999,4145.01965563349,1.751444292096983
2985.65,0.5871429486123999,4145.195411095018,1.753125473056785
2985.6,0.6805570473787207,4135.695257951547,41.49488388835928
2985.55,0.6863327411532597,4136.247733125023,37.67440719216275
2985.55,0.6863327411532597,4144.797584791457,1.7728265226188271
2985.5,0.7608859102526822,4144.836686960106,2.014792993384308
2985.5,0.7608859102526822,4141.832135005547,13.075008018343512
2985.5,0.7608859102526822,4144.979490354538,1.9565110712348848
2985.5,0.7608859102526822,4144.800524240507,1.8461312713069862
2985.5,0.7608859102526822,4142.705352020386,9.016664824247941
2985.45,0.7591546545162483,4144.542988580132,1.9759489551015597
2985.35,0.8750939799154207,4144.631624264896,2.019033988831519
2985.35,0.8750939799154207,4144.824132975142,2.087168005603003
2985.35,0.8750939799154207,4139.749016794642,23.565848003511192
2985.3,0.8645047258706176,4144.325476368315,2.4489291082366664
2985.3,0.8645047258706176,4144.410554132971,1.9017188010177797
2985.3,0.8645047258706176,4144.511108165506,2.257883571405815
2985.3,0.8645047258706176,4133.514932278099,47.48284995421675
2985.3,0.8645047258706176,4144.856785301167,2.1831186651247285
2985.3,0.8645047258706176,4144.473727160468,1.8862375392578559
2985.3,0.8645047258706176,4144.571679338378,1.8228678237392304
2985.3,0.8645047258706176,4144.353203919945,2.0251299486602967
2985.25,0.8506963092234007,4144.423754186996,2.043010692425725
2985.2,0.8335087534664908,4144.510366700438,2.030314413926361
2985.2,0.8335087534664908,4144.328342892086,2.263384926727742
2985.15,0.8127277008872491,4144.21146545352,2.1514313906202895
2985.1,0.7880689256524124,4144.259152882892,2.257143199648801
2985.1,0.7880689256524124,4144.228991518274,2.1787868283278873
2985.1,0.7880689256524124,4144.31940413071,2.1161005399569737
2985.05,0.8255779474818966,4144.289028512605,2.4266520988126317
2985.05,0.8255779474818966,4144.237641150862,2.1380140617038146
2984.95,0.8870412083230171,4143.965655369007,2.297305477038294
2984.95,0.8870412083230171,4144.087218125636,2.496665547361001
2984.95,0.8870412083230171,4143.891975834219,2.591602431907189
2984.85,0.9333020044867296,4143.946008144698,2.4473321990046744
2984.75,0.910465468000326,4143.778913838475,2.4629218037825353
2984.6,0.9947229183096801,4143.573323166019,2.403068575969287
2984.55,0.9986833437344552,4143.57286034836,2.31601620020077
2984.5,0.9459053029269173,4143.65614821116,2.5589333634682436
2984.45,0.8870412083230172,4143.279363340122,2.534893243277912
2984.45,0.8870412083230172,4143.510041795366,2.482990535056141
2984.4,0.8207826816681234,4143.427909924402,2.3783602191084627
2984.35,0.8127277008872492,4135.952620155511,34.96820895101766
2984.35,0.8127277008872492,4143.340590731804,2.8025348467785762
2984.35,0.8127277008872492,4143.707893731474,2.66147082497156
2984.35,0.8127277008872492,4143.628042721712,2.727912762570985
2984.35,0.8127277008872492,4143.377878865768,2.7273370934272068
2984.35,0.8127277008872492,4143.490820295205,2.4977265848776646
2984.3,0.8013147091860318,4143.372343854484,2.3109946232877605
2984.3,0.8013147091860318,4143.4521549778265,2.612578076503394
2984.3,0.8013147091860318,4143.430885963111,2.43548690273018
2984.3,0.8013147091860318,4143.488710352098,2.597719594433487
2984.25,0.910465468000326,4143.1934013249365,2.4804007344211665
2984.25,0.910465468000326,4143.6469278149525,2.387964153361566
2984.25,0.910465468000326,4143.351967831034,2.581297365859034
2984.2,0.8335087534664907,4143.400130782772,2.201055728009934
2984.15,0.8750939799154207,4143.266768882892,2.4313693255432063
2984.05,0.9986833437344552,4143.150360887044,2.3739282722557857
2984.05,0.9986833437344552,4126.110432556438,77.29178259097596
2984.0,1.025978352085154,4143.299848294198,2.269077224066839
2983.95,0.9445132413883329,4143.153260572819,2.3871180471648534
2983.95,0.9445132413883329,4143.366896685411,2.2244266159086776
2983.9,0.9119095061289916,4143.083631599704,2.543298689814423
2983.9,0.9119095061289916,4143.0223961501,2.5050711151887524
2983.9,0.9119095061289916,4143.114847234434,2.6231911753093526
2983.9,0.9119095061289916,4142.889711169555,2.743429143640915
2983.9,0.9119095061289916,4142.940675482538,2.719539494634638
2983.85,0.9333020044867296,4142.648127465393,2.5148135623182797
2983.85,0.9333020044867296,4142.74498067234,2.4551595235180486
2983.8,0.8944271909999162,4142.843436126503,2.4759624795191684
2983.8,0.8944271909999162,4142.896844853312,2.6775620280257213
2983.8,0.8944271909999162,4142.757332291389,2.816645046756597
2983.8,0.8944271909999162,4142.83756752378,2.5737849486707858
2983.75,0.910465468000326,4142.585931493582,2.8128029630917166
2983.75,0.910465468000326,4142.3900948710325,2.5848350902374806
2983.65,0.8750939799154207,4142.462155643005,2.7619650278511414
