,count,count,size,size
,mean,std,mean,std
0.0,3363.0,0.0,2162.7695859123955,1.842162177278927e-12
0.005,3364.275,2.374949392173361,2163.2621737350787,1.3802120422865736
0.01,3365.125,2.553906007948589,2163.2866401798387,1.8373345882771264
0.015,3364.25,3.1276271008627745,2163.6268147088686,2.238003400306699
0.02,3365.075,3.3770530317848384,2163.962247089875,3.006030399862251
0.025,3363.35,3.562986359063391,2163.179732416331,2.8238288111464005
0.03,3364.55,3.580216294855481,2164.173780540056,3.4791040244233273
0.035,3363.7,4.45029529414939,2164.050350214293,4.19813031809553
0.04,3362.275,5.093925492493675,2164.521786192915,4.375922231201359
0.045,3362.925,4.800574217790288,2165.397627627053,4.521477422597139
0.05,3363.1,4.759875025293234,2166.5783831614317,4.435078863770371
0.055,3362.825,4.9348966684425255,2168.106791184828,5.224175227898584
0.06,3363.525,4.500640979990432,2169.447082311221,3.994030514389426
0.065,3362.575,5.295801433259448,2168.536245837635,5.675673318200123
0.07,3362.05,6.448812253987513,2170.229128690162,5.672699404797308
0.075,3361.0,6.464895342917146,2171.0649280839157,5.936539533839478
0.08,3361.6,6.142746399887703,2171.6230343498873,5.4496706240850274
0.085,3361.3,5.858152329698226,2173.350461205489,5.8987703807520155
0.09,3361.275,7.365851561820207,2173.9054138104757,6.133543333505294
0.095,3361.75,6.7396644518163455,2176.6031822184364,5.841624466141539
0.1,3361.15,7.4370865539037805,2177.1763189758203,6.859506930268766
