,lap,lap,nlap,nlap,netlsd,netlsd,portrait,portrait
,mean,std,mean,std,mean,std,mean,std
0.0,14.80772384725324,1.5914221013498318,0.10049356477289399,0.010983246005538728,0.0031277089393219777,0.0006868259022748748,0.03303735093041539,0.0008790663119975004
0.005,14.82127320300901,1.7758426821796036,0.10498563143144228,0.015551541625713842,0.003496235693739918,0.0009339970910003107,0.03356199512730941,0.001077039329631529
0.01,14.728293188356457,1.2925319287932011,0.10451801806699026,0.0173097104285614,0.003655776678506843,0.0012215941957864562,0.03324284667163431,0.001471422303844312
0.015,14.992104149913299,1.2375450262781598,0.10058805241551487,0.01308116826622718,0.0033724981523497177,0.0008539742076142167,0.03320922818157242,0.0009123075977598653
0.02,14.92942133971059,1.1866260899536862,0.10698367441094134,0.017889758656143707,0.003790074011398285,0.0014247664650285648,0.033454098856440045,0.0012856613521687742
0.025,14.844397722856698,1.720601538091713,0.10026267699863474,0.009424179413691027,0.0033218943656986694,0.0006830639225985836,0.03378468832011701,0.0015282183394601378
0.03,14.739498740928264,1.3841644362060652,0.1022489755978782,0.012705451461110084,0.0034517646067220875,0.0008950623991903528,0.03356527760689061,0.0016159430566965892
0.035,14.801233067258114,1.856820489936162,0.10822093745017465,0.014132134923393014,0.003841391936293968,0.001086050241438388,0.03358990488097167,0.001305403417337539
0.04,15.249915988362336,1.5339222643623285,0.10061786219864657,0.016630221482996917,0.003224602729156364,0.0010581906595570794,0.03429612159689628,0.0017759220010783693
0.045,15.082717244380806,1.7841447997868713,0.10219595194672135,0.01408254015507359,0.003404240472564578,0.0009034190331317549,0.03388552487396529,0.0011672442827259167
0.05,15.079767739061174,1.5322612361433503,0.10146514236699293,0.012314943529491983,0.003500552770022359,0.0008266146789752148,0.03444229616865195,0.0021874219287112986
0.055,15.677318215362547,2.542088101746981,0.10126583845022927,0.01285539820969045,0.0032416596510881565,0.0007480761913819916,0.034284511997008965,0.0011978286131144279
0.06,15.064382756511582,1.365336743981077,0.1003270406565431,0.012562822344185376,0.003172809852538949,0.0009758096426506983,0.03520323320143868,0.0013745565626024543
0.065,15.714944683288682,1.7967462321392482,0.10449472655772037,0.015859815335715385,0.003411116011638929,0.0009973731531384964,0.03542078497379446,0.0018259706391432885
0.07,14.788074971508873,1.717209003825717,0.10400444643504562,0.01413340512493128,0.003488872175492199,0.0009786826482399789,0.0355072007020481,0.0020941562990581734
0.075,15.242707144506806,1.4957049882100812,0.10651330154721919,0.013338150401902896,0.003525344664367414,0.001040577675429957,0.034787379883315664,0.001042594643919795
0.08,14.953990551695657,1.3805978370771137,0.10506824802937995,0.016111334688978178,0.0034145137780095245,0.0009596099342209469,0.03561609145531597,0.0019805917269536686
0.085,15.720043257261159,1.5118926474501968,0.10322350519628871,0.010286965576760204,0.003481539473547147,0.0007980932992804337,0.035933612336892164,0.0018013261686997746
0.09,15.755445558006048,1.4670260637102621,0.10852070649401183,0.013810005925167365,0.0037572166673750565,0.0009294836157915788,0.03634994712201387,0.002231094026603442
0.095,14.84358769315092,1.0612778768464532,0.10443576903390035,0.016087565662342235,0.0035215463416716267,0.0010664719036912824,0.03624757662284759,0.0022603117894153093
0.1,15.33660297182574,1.5654416216580267,0.11029311174728848,0.013921943379693977,0.003755676556312134,0.0009498996605327719,0.03667823996938615,0.0021564008211510726
