0,1
BA 0,Uni
BA 0,Uni
BA 0,Uni
BA 0,Uni
BA 0,Uni
BA 0,Uni
BA 0,Exp
BA 0,Exp
BA 0,Exp
BA 0,Exp
BA 0,Exp
BA 0,Exp
BA 0,Log
BA 0,Log
BA 0,Log
BA 0,Log
BA 0,Log
BA 0,Log
BA 1,Uni
BA 1,Uni
BA 1,Uni
BA 1,Uni
BA 1,Uni
BA 1,Uni
BA 1,Exp
BA 1,Exp
BA 1,Exp
BA 1,Exp
BA 1,Exp
BA 1,Exp
BA 1,Log
BA 1,Log
BA 1,Log
BA 1,Log
BA 1,Log
BA 1,Log
BA 2,Uni
BA 2,Uni
BA 2,Uni
BA 2,Uni
BA 2,Uni
BA 2,Uni
BA 2,Exp
BA 2,Exp
BA 2,Exp
BA 2,Exp
BA 2,Exp
BA 2,Exp
BA 2,Log
BA 2,Log
BA 2,Log
BA 2,Log
BA 2,Log
BA 2,Log
