lap,lap,nlap,nlap,netlsd,netlsd,portrait,portrait
mean,std,mean,std,mean,std,mean,std
0.0,,0.0,,0.0,,0.0,
0.10676578042473472,,0.004146509512974191,,5.0638849502990974e-05,,0.0033798058226881603,
