0,1
ABCD 0,Uni
ABCD 0,Uni
ABCD 0,Uni
ABCD 0,Uni
ABCD 0,Uni
ABCD 0,Uni
ABCD 0,Exp
ABCD 0,Exp
ABCD 0,Exp
ABCD 0,Exp
ABCD 0,Exp
ABCD 0,Exp
ABCD 0,Log
ABCD 0,Log
ABCD 0,Log
ABCD 0,Log
ABCD 0,Log
ABCD 0,Log
ABCD 1,Uni
ABCD 1,Uni
ABCD 1,Uni
ABCD 1,Uni
ABCD 1,Uni
ABCD 1,Uni
ABCD 1,Exp
ABCD 1,Exp
ABCD 1,Exp
ABCD 1,Exp
ABCD 1,Exp
ABCD 1,Exp
ABCD 1,Log
ABCD 1,Log
ABCD 1,Log
ABCD 1,Log
ABCD 1,Log
ABCD 1,Log
ABCD 2,Uni
ABCD 2,Uni
ABCD 2,Uni
ABCD 2,Uni
ABCD 2,Uni
ABCD 2,Uni
ABCD 2,Exp
ABCD 2,Exp
ABCD 2,Exp
ABCD 2,Exp
ABCD 2,Exp
ABCD 2,Exp
ABCD 2,Log
ABCD 2,Log
ABCD 2,Log
ABCD 2,Log
ABCD 2,Log
ABCD 2,Log
