lap,lap,nlap,nlap,netlsd,netlsd,portrait,portrait
mean,std,mean,std,mean,std,mean,std
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1277167325299074,0.11387932892269512,0.005345941398793126,0.004438718041936496,8.647993581734362e-05,7.477806215681907e-05,0.00125891900548173,0.0020577012271888184
0.5955082155343228,0.3512313470750886,0.016501957029659817,0.00241840299536285,0.00039596188011545134,0.00015138591570320104,0.009108165621858053,0.00503554516933919
0.9173658611913507,0.30201330798890635,0.023343432741134398,0.0027312861627212894,0.0006904798994827723,0.00020409664033807555,0.013503061911288031,0.004964497911293088
1.264803623888421,0.3081756756780555,0.02893750426519139,0.003436360279577691,0.0010239420602227698,0.00018169246844911078,0.016916107738171003,0.004721676126930902
1.6608766919631734,0.41396184406743947,0.03410502402452924,0.003999274042799773,0.0012830243707175758,0.00021899826739684374,0.01984852240565254,0.004496414557601997
2.008211826809413,0.39600824833112813,0.039513065191593595,0.006663257889261826,0.001525331297187349,0.0003363129585835692,0.02330847623927563,0.0035448744855489634
2.2951962158603916,0.39260086308185305,0.04401684241628939,0.007349479283203181,0.0018137612489707087,0.000403942358245908,0.025182928971997576,0.003663552687132649
2.646718983271946,0.4523402955535031,0.049498035023491496,0.007030322261192706,0.002155079674373825,0.0003757027802484236,0.026840451338787718,0.003056230280231842
2.9559080277619474,0.4323776289187854,0.054283795746294425,0.008171489213347585,0.0024450640050594245,0.0005041819867972058,0.028416859154409745,0.0026737346775294268
3.354648213799988,0.4821100238716703,0.059737508176360546,0.01070707460039257,0.0027581849870329167,0.0005880807435091277,0.030126797858635646,0.00391028025013144
3.7151484469975786,0.4763067309810761,0.06477866560228901,0.011058503628118534,0.0030685058110891763,0.0006044901883329856,0.03063558462464423,0.0038217951966460326
4.052584139613183,0.5038218875054392,0.07072131699467389,0.011668606772762834,0.0034106990900642717,0.0006264003401887859,0.03133195746564504,0.003959646936124615
4.387363354503132,0.5551629045146155,0.07504395292122815,0.012632859398438228,0.0036773206714478617,0.0006770772604784624,0.032034664174932385,0.0034363880019391145
4.728538924326086,0.617621658525171,0.0795240665405813,0.013803506641740198,0.003944901683571233,0.0007404567414045117,0.033068474871462424,0.003932500426790262
5.160099052636704,0.701308905724954,0.0853220990641644,0.013021061582142774,0.004251727666560004,0.0007200549468712382,0.03333797210829584,0.003824551855966718
5.5306937151317666,0.6963621822969314,0.08901744813023059,0.014858338838235771,0.004457985519320662,0.0009443950228538318,0.03404054557609644,0.0036619568797813095
5.947413506021465,0.7689759070393002,0.09384515799481961,0.01579014862826971,0.004725249805227691,0.0010027214485963168,0.034605899146653164,0.0036529912536682955
6.244259262293101,0.7828478575791888,0.09850005913786378,0.016668165929648916,0.0049963132077179935,0.0010741490051290143,0.03548899536531004,0.004035174541802854
6.571398844934104,0.7198015105628733,0.10354903902020282,0.016609341718601033,0.00530839630267476,0.0010423036288053785,0.035973453827627774,0.0037136736599060432
6.837550654997135,0.7288991265273107,0.10848614429162629,0.01710066645966869,0.00560232354965171,0.0010687674284160524,0.03621900609293538,0.003947962251251205
7.209124529937507,0.7417562245746805,0.11139449465089186,0.01692260167387503,0.005783754611130643,0.001047872278068029,0.0372298947902399,0.003814584411962839
7.521887331198846,0.7301323644968456,0.11606810565657358,0.016612507078550144,0.006066398689738035,0.0010255405934394516,0.03810984918438719,0.00406977719444321
7.916185920701059,0.6802435312795327,0.12256842511530137,0.01772947795253836,0.006430077103000828,0.0010710374546871976,0.03879285721861217,0.004257827429930603
8.231785853414497,0.6166242027435707,0.12647695827366456,0.018886656348869386,0.006661904203863672,0.0011240375769957732,0.03887946761031382,0.004235499343836054
8.556182691656598,0.6568754366631744,0.13122721589578928,0.01806768137423139,0.00694227777532278,0.0010916914283793649,0.039692053671905925,0.004397842981071173
8.879359258060742,0.6528028713758426,0.135256657542756,0.01870909297240064,0.007187050033788183,0.001110660130213491,0.03988207389925227,0.004119682604517018
9.269098818596891,0.6307430835797067,0.14070004462029634,0.0189673445233383,0.0074958702583554195,0.0011179960908063525,0.04047355614054321,0.00384910744229989
9.632973878137566,0.6403299333834932,0.14669572213916904,0.018406264576306137,0.007839481200465718,0.001075060578417779,0.040726717232211156,0.003870114431838072
9.922646226906616,0.6253303449559314,0.15134781005215808,0.018625230241519897,0.008105725568097263,0.0010765741468556336,0.04147251580561588,0.004289791453853144
10.24842141222165,0.5993033074902869,0.1566982081407718,0.018697360746317754,0.00841325388338185,0.0010659909301787606,0.04213642316652443,0.004633039564720189
10.532170888662028,0.6358076861926494,0.16241554178393353,0.018746117653613188,0.00873725005898229,0.0010670129629129978,0.042571576413534075,0.005140998480284311
10.852841375343264,0.6624131602918111,0.1673161174988611,0.01903675765329296,0.009015887770789757,0.0010772442041309903,0.04317116377569773,0.004974242462815213
11.181165692338668,0.7332136091246615,0.17203905453673085,0.019295337675399513,0.009290279184929844,0.0010854300748651842,0.04385641877910404,0.004957098479506653
11.471998677965141,0.7613739676588055,0.17680937629790414,0.020374480955320916,0.009555090186555279,0.0011346772858304044,0.044231030917880956,0.004701698542484573
11.819311248882174,0.7797550547687117,0.18255508365874723,0.0208528807586712,0.009887086082837166,0.0011538117167211636,0.04481759704064879,0.0045616905851360336
12.101537819502061,0.772305418446608,0.18700537611096796,0.020085324422981863,0.010137413144284495,0.0011108735379665145,0.04530957251849088,0.005074690148478685
12.47735869309947,0.7955248203008838,0.19170161563606972,0.02067314800507367,0.010404388650019813,0.0011419895674233372,0.04605110746868798,0.00533623737699859
