,lap,lap,nlap,nlap,netlsd,netlsd
,mean,std,mean,std,mean,std
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.35376597330844617,0.0335611861855861,0.012043596352652718,0.0004577163003841557,9.595656679270874e-05,6.182266438011656e-05
0.02,0.6040780436335845,0.07604966010954797,0.021096228200363484,0.0018171050115687892,0.0002165835123177146,0.00015772143973417853
0.03,0.845212499953526,0.09999888354379419,0.026711785928135008,0.001433231269272419,0.00023023426398728822,0.0001558532055116619
0.04,1.0300576970291826,0.11589001276753436,0.03257743865767036,0.002638289097631054,0.000480061410103571,0.00028287608997641265
0.05,1.2389577797317588,0.21249361508495493,0.0367019903316859,0.00428941951081111,0.000600373415766317,0.0004425082199884568
0.06,1.3507907867737827,0.1595990098929164,0.040271822421589686,0.005234952935471719,0.0006732948326416988,0.00045521797986216277
0.07,1.4253292948996994,0.19827317481572707,0.0410050167259179,0.0033948666854293538,0.0005074634260709171,0.00027584712097388165
0.08,1.6878843005309339,0.2644522884813144,0.04884876400763788,0.010983662661475619,0.000953310217779429,0.0007630094514128315
0.09,1.8861645068768689,0.28502995161712935,0.04913788719209259,0.00876025246790659,0.0009266073910523014,0.0006986329898101287
0.1,2.003656329589252,0.31072282841061166,0.05100516540343991,0.009677105623490523,0.0008931496650509164,0.0007161655195350249
