,mean,std
0.0,2794.0,0.0
0.01,2796.825,18.461168532618505
0.02,2785.425,40.21346087938012
0.03,2790.475,39.70402517862157
0.04,2791.2,53.81363853436871
0.05,2785.6,56.05711373233552
0.06,2792.425,71.61323738828436
0.07,2798.85,69.30850763628683
0.08,2813.425,57.32538145511427
0.09,2797.7,63.68600860713201
0.1,2795.725,72.51206354100233
