,lap,lap,nlap,nlap,netlsd,netlsd
,mean,std,mean,std,mean,std
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.5561232661732068,0.05534658940741529,0.011801123610117857,0.0006427123468439988,0.00010947357525379105,8.673793406241595e-05
0.02,1.0105150458467442,0.11900332603844874,0.02056040047456743,0.0018270986795929315,0.0002309632767244992,0.00018821861920138592
0.03,1.5003495184410027,0.17278818819315953,0.025955004751083432,0.0013885641859787265,0.0002876737668120015,0.00016340453297935357
0.04,2.0682387668140985,0.3988764958499235,0.030560174723051465,0.0036669472258286785,0.0003315239626251336,0.0003333006388724131
0.05,2.3986623024267972,0.37859458778488597,0.036839827946704644,0.005245035416554339,0.0007061840472726095,0.00043377718726095597
0.06,2.706546910335928,0.3450643687957851,0.03773509110469929,0.004212616398162271,0.0006035315354886337,0.00042650614829650837
0.07,3.016922013470826,0.3103886507432843,0.04220528911645249,0.006430320134274337,0.0007054156709296486,0.00045634738644045083
0.08,3.3746542020088315,0.4377377134307857,0.044889239563145306,0.008976375708777554,0.0007015366097930602,0.0006554712316925001
0.09,3.6373370709155504,0.4511330647080798,0.04698117741531717,0.009724948032853906,0.0007080356216929674,0.0007059420357835648
0.1,4.135564060784162,0.5990254969736134,0.04623467285576924,0.0067830553543989005,0.0006224088449185187,0.0004944363271064658
