,lap,lap,nlap,nlap,netlsd,netlsd
,mean,std,mean,std,mean,std
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.20943995683982575,0.0204624932834699,0.01123000816450596,0.0002636574257251783,6.647841113062783e-05,4.605586453366331e-05
0.02,0.3678809495050509,0.05863023566651921,0.01942681669199034,0.0010999858584394375,0.00016686408913021842,0.00014172729219474634
0.03,0.502129113857171,0.06874328591059056,0.02452306882366868,0.0008921942773519262,0.00022801773831710573,0.00015271087975903712
0.04,0.612720773474796,0.0937999372188343,0.028449545418119993,0.0014315327825473547,0.0003046405108580854,0.000159996380044368
0.05,0.7295012691674232,0.1083839509062444,0.030786636118441697,0.0018211229798376217,0.0002951680014366856,0.00023133124073068922
0.06,0.778932757098966,0.11388999319582577,0.034172631260476635,0.0035369376104032305,0.0005077872089339186,0.0003654938400211507
0.07,0.9435175797813479,0.1917951000846126,0.03708535396624941,0.003696534215144499,0.0006070327560219427,0.00036286211772938563
0.08,1.0086351331956407,0.16150933056258043,0.03891278929757448,0.005417845564389006,0.0006615121443252799,0.0004540379107495198
0.09,1.107124353788387,0.21709174499867523,0.040049861310979554,0.007417614248831109,0.0006511195145617232,0.0005931508925694497
0.1,1.019726585241922,0.2176572631158725,0.04216623181260266,0.006294768490198244,0.0006553692452578729,0.0004926172375341897
