,lap,lap,nlap,nlap,netlsd,netlsd,portrait,portrait
,mean,std,mean,std,mean,std,mean,std
0.0,0.0,,0.0,,0.0,,0.0,
0.1,5.325345424029652,,0.26522584968744617,,0.004053715460702428,,0.04599668701888991,
