,mean,std
0.0,3786.0,0.0
0.01,3773.675,11.949439424680246
0.02,3770.725,21.284383946922212
0.03,3767.45,30.20269133872947
0.04,3767.5,38.735791439720686
0.05,3747.15,47.12642570787647
0.06,3745.8,48.03962040030216
0.07,3744.45,44.82613134413956
0.08,3748.55,51.04696178708687
0.09,3736.075,51.51469170574994
0.1,3739.1,63.9129215296996
