,lap,lap,nlap,nlap,netlsd,netlsd
,mean,std,mean,std,mean,std
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,1.1232615979864546,0.2600738018570953,0.09830565575235875,0.028806839596944155,0.002582658861378176,0.0019108096026249825
0.02,1.6491780257963717,0.5613112430299843,0.13486212758324656,0.03903005606984518,0.005393084664031583,0.002914630228031724
0.03,2.039248005047732,0.8556677312425337,0.15022069145685552,0.04200202464438883,0.006074518240883606,0.004374407387765633
0.04,2.403135652997322,1.1500727630879488,0.18243471745058776,0.07726472881081091,0.00889012581158781,0.007189224962515112
0.05,3.376046462597988,1.3075016302680178,0.19003877059929292,0.07162652826907773,0.00974406869994052,0.005640989892152
0.06,2.63498407686715,1.0666068631333472,0.18976386594171243,0.07140084460134329,0.008972114608900983,0.006195371668605117
0.07,2.736529992308321,1.1484871101342597,0.1753440500116275,0.08084330937356282,0.00949954616444365,0.006315845976681692
0.08,3.80020947557244,1.5342736015936675,0.21363270547263574,0.09028325950470226,0.010578488543636624,0.008203700797905661
0.09,2.830082030596756,1.0032619411512407,0.20352477097646035,0.06779152179629501,0.010300498131528914,0.005378339725897915
0.1,3.3884618515606197,1.1446494188691003,0.1883702615915665,0.06517942963834598,0.009334440682032525,0.006141532538117761
