,lap,lap,nlap,nlap,netlsd,netlsd
,mean,std,mean,std,mean,std
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,1.0432465564327171,0.36567875757891055,0.055479783031137445,0.01007019253889247,0.0013209788641730452,0.0008081905430076749
0.02,1.7438296704052743,0.6344749504160491,0.07031652375226927,0.01264280565998801,0.0021772719208029206,0.001056428724368106
0.03,2.133604211854112,0.9047338838009971,0.07796439951628219,0.019135091337840904,0.002751745141744128,0.0015622304624221739
0.04,3.1003658934341183,1.3400901486748817,0.10874154782822738,0.03922761748207873,0.00475354990896798,0.0026790654849152273
0.05,2.729607879503186,1.2938490028348244,0.09838800243996822,0.03937500596817449,0.003568108191076602,0.0030981434639021058
0.06,2.9961314039262,1.7701904261590653,0.12065932345761088,0.06657444408086984,0.005355419343362012,0.004035825826656493
0.07,3.7241592092551175,1.7829512007542851,0.13500701373174773,0.05938510474507694,0.006244191803317323,0.00410136448431046
0.08,3.6904679809314573,1.8029259082503688,0.13031397711879364,0.05503478730723881,0.006156017674956498,0.003735658253755618
0.09,3.738440475418289,2.4933726522652697,0.1261724790495075,0.08249674888606037,0.005787230352540676,0.0050688226566909965
0.1,4.357494963468063,2.6083979804562825,0.15920525673067812,0.0843784467109654,0.007393484330413351,0.005630824253861669
