,mean,std
0.0,2877.0,0.0
0.01,2874.475,11.238640989107681
0.02,2869.325,18.293038468506438
0.03,2868.375,24.341257052005243
0.04,2884.875,33.421310183159704
0.05,2884.65,47.161234624234034
0.06,2896.125,34.54405399872265
0.07,2903.95,43.0145771355926
0.08,2908.975,49.2557363573276
0.09,2891.75,46.18066528487703
0.1,2893.6,46.70957734110442
