lap,lap,nlap,nlap,netlsd,netlsd,portrait,portrait
mean,std,mean,std,mean,std,mean,std
0.0,,0.0,,0.0,,0.0,
0.438347855859646,,0.013455574374784274,,9.495231510457262e-05,,0.00700719563071961,
