,lap,lap,nlap,nlap,netlsd,netlsd,portrait,portrait
,mean,std,mean,std,mean,std,mean,std
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.11066788675170762,0.012233288758622734,0.0031764322089269824,0.00016423707211349388,3.0489711907201747e-05,2.1661753618284583e-05,0.03193085786984022,0.000728738440467518
0.01,0.22768489313485812,0.025828476948207627,0.006071077273243609,0.0002098197158332654,4.4760492783639684e-05,3.7031526392049014e-05,0.03277361652050711,0.00066415016592706
0.015,0.3263039254277392,0.032464275289052935,0.008909325640306751,0.0002545764896684195,7.649715471701352e-05,3.3603759433668556e-05,0.03319208622642452,0.0006283690842119565
0.02,0.4305783906653208,0.06003653166263049,0.01147709664406719,0.00047121546264680344,8.633083849482348e-05,6.808013580970089e-05,0.033154854631044756,0.0008514333509895368
0.025,0.5088384996458624,0.04380102561015995,0.013825829146663943,0.0006508482408408779,0.00013833575514381598,8.665354251418363e-05,0.034074443926541596,0.0009724481590987913
0.03,0.6105244212509964,0.0732880870390541,0.01609786145501797,0.0007534164288668418,0.0001661734936731622,0.0001203094117830346,0.033759759967676106,0.0008776828487699577
0.035,0.6851482249257983,0.07023214026821423,0.017860576190168287,0.0006795972411822249,0.00015748189007493883,0.00012153529661251872,0.033861642158307496,0.0011025789748179851
0.04,0.7279636090550393,0.07358605675886482,0.019961497298679017,0.0009203741236610196,0.0002048124128459847,0.00016253310304771768,0.03425679679076191,0.0011583308886214366
0.045,0.8215461317252348,0.10835675027813542,0.020749291480097062,0.0006128185644243549,0.00016014804748427247,0.00011361699504090959,0.03563421409375207,0.0019060121456846843
0.05,0.9189181298838749,0.1416451242897604,0.02290305477114444,0.0014227102451971577,0.0002834026812723779,0.0001909984646543275,0.035177125358842584,0.0011802524726690787
0.055,1.0468025195618242,0.11463919797811392,0.02406560654339922,0.0014463984343910826,0.00026356334604296194,0.00017787847017563082,0.03558817989946248,0.0012366767032846765
0.06,1.0492838039950148,0.1327860383225688,0.026117097675383245,0.0030788854916656764,0.0003855967228102024,0.00030406477929471404,0.035767772941045294,0.001880582191797282
0.065,1.0876448478733767,0.14446343076130735,0.02607387781895538,0.0017769673869181923,0.0002493153654845088,0.000206557791937088,0.035739381871143804,0.0021015769289537906
0.07,1.185998648251411,0.1866942768191232,0.027231838445500495,0.0021366276539944223,0.0003541555541451644,0.00024097433415151006,0.03658441282839627,0.00237243039465082
0.075,1.2284140780590556,0.17049254370812517,0.02849548663554761,0.0022741715858133164,0.00030833259092985797,0.00031295354811245146,0.03557806156939523,0.0015639887899160426
0.08,1.257540973845998,0.190237340333613,0.029254796291764234,0.002054674157720183,0.0003455521375148122,0.00025942506296659833,0.035808311470095666,0.0013675369386684998
0.085,1.3223750171132742,0.1996291612374478,0.030720377263906983,0.0023300310313496973,0.0004692546623324445,0.0002940128336848093,0.03753780898909721,0.0034261013994649294
0.09,1.3694340851500932,0.2868933119191463,0.03057803321196558,0.0021610575168468584,0.00033749201782967843,0.00026954156074199796,0.037069987398788674,0.003012771645826997
0.095,1.4901427991390428,0.20406058678358593,0.030927548824170852,0.0025325108629691085,0.0003309747002339902,0.0002582109615150214,0.03779464468708808,0.003969332842766413
0.1,1.4154227113266307,0.20616367825175483,0.031636947162218126,0.0016696903492058796,0.00036662466106783976,0.0002571011132724239,0.03704896006746321,0.003324788002844942
