,lap,lap,nlap,nlap,netlsd,netlsd,portrait,portrait
,mean,std,mean,std,mean,std,mean,std
0.0,14.341920460260804,3.6105701341977987,0.11305962374770899,0.026790090199702615,0.003985185799982797,0.0022293576120084096,0.04688110645411252,0.0034917393120077996
0.005,14.569249142590241,2.2579378380446267,0.13113499219087213,0.05479149204725366,0.0053897147721430685,0.0038150511073171385,0.048026122023635376,0.0035652986052677285
0.01,15.185518303576254,2.6650701987498233,0.12009674148597693,0.0411420909977116,0.0034506328268312167,0.0021564821516170908,0.04702538551421143,0.003993386474745839
0.015,14.32760559503817,4.3682073659102985,0.11898034512325546,0.027403038440496724,0.0036696152180267496,0.0030622201419675727,0.050843136884556404,0.005644087936335548
0.02,13.84805745417915,4.096616721575811,0.1269765455231743,0.04828285934261501,0.004861783004587505,0.003365605708438927,0.04846980380993415,0.006511304149457856
0.025,13.728656208548443,3.2926375088649587,0.1275137036136534,0.034115453837040836,0.00462042955933393,0.003350391857481811,0.05226773352445204,0.008578589216705297
0.03,13.958114750167425,3.0962446720342705,0.09842322184651088,0.026259586168623394,0.002835194216009631,0.0018809991018065198,0.0483664396517999,0.005641393113841242
0.035,13.852144170909932,3.0727467243421653,0.12386322669770197,0.029021748893154266,0.005047906334024885,0.002697644800301005,0.049986210188797224,0.008242925373876483
0.04,15.095999253193304,4.465442659866248,0.12491585724511649,0.03236254945855154,0.004956220791692223,0.0031868300504111274,0.04991424677457988,0.006635455433525883
0.045,15.932831844486785,4.162974727138897,0.1257218302775918,0.050419445385486296,0.004533485328984262,0.0031296470858697724,0.048598521675633374,0.0045208489771951035
0.05,13.982378779377024,3.1104963439353313,0.12451205808023955,0.029333529659209035,0.004124951021282689,0.0031337787871147057,0.048763836593882726,0.005325226858330248
0.055,13.607728936614507,3.3863995110341154,0.1231617401243907,0.03974635711645985,0.004759015743383636,0.003295402481006794,0.049424363979399595,0.005646632668147619
0.06,14.139368469114018,2.319351691211903,0.12233812089642626,0.03862268167541151,0.004746122829574919,0.00355073551683343,0.04991286670050826,0.006661162428494
0.065,14.756047778499653,4.043782359631456,0.11531911091885275,0.04180290236875313,0.0038189087851846874,0.0029069193224792044,0.05026356657898893,0.009120400005346715
0.07,15.300689290594608,3.426839675681417,0.12083976816521125,0.04785331284158812,0.0034690825036530703,0.0035628322864695323,0.04750996990283597,0.004503671143559385
0.075,15.141021362424988,4.28997572918717,0.124214412758853,0.044063915561480656,0.004486085841917621,0.0029987616928329134,0.04957351655294932,0.006594280282061489
0.08,14.496878934725322,3.110867788728585,0.12454666524071518,0.04455675058610471,0.004072636358856266,0.0029668845962930704,0.047966207596951076,0.004094604810612928
0.085,15.225249902314783,4.308133425396751,0.11508205823220581,0.03260755489284489,0.0035800876720590664,0.0029696706036116374,0.051701612003713995,0.006526500407583594
0.09,15.330928634455566,3.8414488247315544,0.14284272003975063,0.05715314235090337,0.005494657411282076,0.003240588846055937,0.05159932141642831,0.00751595464349187
0.095,14.05930965635855,3.1287904233048778,0.1334032674163827,0.04920862674350264,0.005337551016332073,0.0040584062762773565,0.048784764813616696,0.005301958570661532
0.1,13.791256630994374,2.7353096630906397,0.12408530509243357,0.05926745906082532,0.004356724576181132,0.0035360495854733923,0.0511120926057109,0.007589790646116181
