count,count,size,size,components,components
mean,std,mean,std,mean,std
3787.55,11.237741859700426,3648.3139529987993,19.171879033640295,1.0,0.0
3726.725,98.84457163701639,3570.692713254028,119.05952050457853,1.0,0.0
3644.65,100.34992722835848,3477.8954176496372,120.68982276224159,1.0,0.0
3596.125,76.84859944619748,3416.8927046930503,93.46336024861027,1.0,0.0
3575.35,91.89927266191758,3393.285909462224,109.81948635422626,1.0,0.0
3545.35,81.71904693263956,3357.2393258457896,88.12469227527885,1.0,0.0
3504.8,110.94574302214953,3311.7038633334696,123.6132746302824,1.0,0.0
3500.875,104.63707642684736,3306.977894088913,118.95663468132523,1.0,0.0
3491.525,100.29908891332018,3302.8435792952887,117.0582234835578,1.0,0.0
3470.925,99.2992917502701,3275.2392066571642,113.68646502213748,1.0,0.0
3447.525,152.5379568811438,3252.3888922145534,166.51232147337922,1.0,0.0
3437.0,161.07737598009095,3236.8130907198274,175.20868987785695,1.0,0.0
3429.25,166.51801704320167,3232.004007807397,187.14378963491765,1.0,0.0
3422.975,152.19866475311662,3223.532360862643,167.6797788898621,1.0,0.0
3416.95,150.62535433459087,3216.257192675527,159.89046606672522,1.0,0.0
3405.925,151.11186819878287,3197.837342221056,162.22406697478777,1.0,0.0
3370.9,168.14957314060726,3163.027205065441,184.882155658811,1.0,0.0
3375.75,161.2650237799159,3166.1886683851044,178.66441739087057,1.0,0.0
3364.4,158.0058793043374,3157.6946178893895,170.25130840863778,1.0,0.0
3335.45,166.64379755381808,3126.11839963488,184.30545975997657,1.0,0.0
3336.725,162.9394846496537,3130.4911347331044,174.3024226013366,1.0,0.0
3337.0,162.8538253190653,3124.6579476162783,180.05817430183407,1.0,0.0
3309.175,165.6835343437349,3092.4905908066326,176.05222449511953,1.0,0.0
3272.625,161.1880133815624,3054.6060800520136,174.35770927980667,1.0,0.0
3268.15,162.17600088532797,3047.7124730753176,172.91479783883048,1.0,0.0
3265.6,162.1045471617817,3046.623419566793,167.84208936747174,1.0,0.0
3255.875,164.81128562213527,3041.2421391052835,179.86940960582922,1.0,0.0
3245.3,160.14355402181144,3022.139980947247,169.31771469251967,1.0,0.0
3232.9,161.3367351388491,3015.456552863106,178.16641215388438,1.0,0.0
3237.4,157.2258348932984,3018.1363340537287,168.99831108747676,1.0,0.0
3228.4,149.45502756066082,3008.9474732390286,161.14786585888828,1.0,0.0
3210.6,172.33219145164466,2986.973410695633,184.02491910415583,1.0,0.0
3205.725,176.3909738560756,2987.6350705145337,184.25630724696356,1.0,0.0
3174.8,174.21261964078624,2953.9135985990943,187.70239484468667,1.0,0.0
3153.2,183.07241880282183,2928.4236028215078,193.62914507434448,1.0,0.0
3138.65,159.59794056183478,2912.7854016410356,171.151284163246,1.0,0.0
3147.875,182.60994345152298,2924.339721368252,197.64178333994175,1.0,0.0
3153.425,181.0816386838297,2925.6131211126167,198.13353968451378,1.0,0.0
3151.9,184.30442494045437,2923.9075064536673,197.09535489606822,1.0,0.0
3152.75,181.37156540329607,2929.948928711379,190.29536741771847,1.0,0.0
3136.775,173.33542740806578,2907.8634794994678,185.16298379499315,1.0,0.0
3128.35,168.83705162078613,2897.5169619947496,178.10079443725925,1.0,0.0
3131.35,173.71377698901568,2909.384119295501,186.97270765698178,1.0,0.0
3116.225,181.4700551635245,2887.5674782298825,197.8274995435999,1.0,0.0
3114.325,178.21389240844385,2884.9343559326667,191.02242903994622,1.0,0.0
3104.25,169.45838644588267,2871.780039830225,181.18198622880163,1.0,0.0
3106.725,172.09242276661752,2880.7731962419243,185.4558328106418,1.0,0.0
3111.5,174.51172483607843,2881.13833596341,186.64722763773077,1.0,0.0
3103.2,169.1609635198008,2870.628937480279,176.05803456195554,1.0,0.0
3086.05,172.2608869067344,2851.5625700748374,190.4831171025282,1.0,0.0
3080.875,156.41408226748302,2851.0987699001953,162.29467785673677,1.0,0.0
