,count,count,size,size
,mean,std,mean,std
0.0,4974.0,0.0,4896.485809124284,3.684324354557854e-12
0.005,4974.0,0.0,4896.528221782079,0.36841056495890595
0.01,4974.0,0.0,4896.790839452757,0.5817657675327631
0.015,4974.0,0.0,4897.189316944132,0.9946629244233356
0.02,4974.0,0.0,4897.230323106267,1.4344355617270588
0.025,4974.0,0.0,4898.1181575189585,1.5887503036781008
0.03,4974.0,0.0,4899.166189806458,2.0522996065446004
0.035,4974.0,0.0,4899.6101533527035,2.414666637349562
0.04,4974.0,0.0,4900.04928887812,2.7969518019253514
0.045,4974.0,0.0,4901.778849651528,3.7046669668906897
0.05,4974.0,0.0,4902.6282867053615,3.403941820293221
0.055,4974.0,0.0,4904.851842746202,3.9178142751645035
0.06,4974.0,0.0,4905.80214872291,4.313208983096336
0.065,4974.0,0.0,4907.087521601608,4.8768079566405
0.07,4974.0,0.0,4909.427950235388,4.766062051681434
0.075,4974.0,0.0,4911.137192692647,4.956313740221081
0.08,4974.0,0.0,4911.642203111313,5.768554353350421
0.085,4974.0,0.0,4915.583105112409,6.67573378631516
0.09,4974.0,0.0,4917.9911749808925,5.672691972510995
0.095,4974.0,0.0,4919.277011186341,6.996094358534235
0.1,4974.0,0.0,4921.3959808434665,6.579230989779384
