count,count,size,size,components,components
mean,std,mean,std,mean,std
1859.3,6.665701684546677,1619.2922899649814,15.867592922709692,1.3,0.37696851746252596
1858.175,7.872796266424757,1616.8859371418243,14.594403102814896,1.5,0.5380275868489703
1857.175,8.888601512167437,1617.1486418424727,13.234592709406707,1.35,0.4322523629353088
1869.55,37.28019793261211,1628.4024680750704,37.76574471237648,1.375,0.35817519970568945
1882.975,82.43968688492339,1637.3878651477444,78.5700120659334,1.55,0.5355764233637978
1900.475,103.47380484680015,1655.3798053798193,96.51415509775438,1.5,0.45883146774112354
1898.725,105.426511571356,1655.0440229372266,98.24749827289908,1.5,0.512989176042577
1902.375,104.73750082442949,1657.4090716639203,99.66483543154392,1.475,0.41278897374094814
1905.9,103.61385804489363,1666.3434519342475,97.80704725518953,1.475,0.6171880204861229
1906.175,107.42062859324749,1666.7059257970845,97.7788514127943,1.575,0.7482435573078003
1926.825,109.28924382476747,1685.553776821891,99.80240938967958,1.4,0.4167543767332454
1929.95,113.57792363325765,1686.185953111092,106.59233642407965,1.275,0.3431663705766299
1930.3,113.09700075133455,1685.2806146904682,109.34567328426412,1.375,0.5349618776383189
1937.65,112.22171428870055,1691.0813438573944,107.71580346311073,1.375,0.31933318682925255
1935.45,111.00733735825044,1691.2850166065823,103.50490932573429,1.475,0.41278897374094825
1936.475,107.90901076955137,1690.015512753222,100.73822791902376,1.225,0.37957732725812415
1939.0,110.70836510970234,1690.3981780384959,104.4546377699496,1.375,0.5590169943749475
1947.425,111.70111376252913,1700.219553099679,104.57062287342886,1.375,0.48327283347913047
1961.4,120.56103499014404,1716.6759210508212,114.29612325799928,1.35,0.48936048492959294
1965.275,122.05234802286573,1716.2204590844412,111.01386389951946,1.175,0.4063638504436246
1967.85,123.68583929498666,1719.1748515100585,117.61688914209579,1.175,0.24468024246479647
1984.4,125.97771315008983,1736.0524700870296,112.01993068591958,1.1,0.2051956704170308
1997.475,136.13175458085874,1748.2813530062922,123.95070688394226,1.1,0.26157418189029846
1997.825,135.87690588408165,1744.3478908248392,125.45804912734307,1.125,0.2750598021100904
1996.475,132.8533496002265,1742.3353949669188,122.69949925044484,1.275,0.30240265941464983
1997.725,136.1644202503182,1747.8547007038865,129.42339838622806,1.3,0.37696851746252596
1999.75,136.00904575180206,1751.0666383938556,123.12391445051006,1.15,0.2856202852887397
1999.35,138.91601968929209,1748.076648192005,132.91623829949788,1.225,0.3024026594146498
1994.325,134.17960028103732,1745.9702801985648,125.58362636062544,1.225,0.3431663705766299
2003.125,137.2083389939317,1749.8012011713247,124.67117975435613,1.325,0.3725799101852973
2015.425,139.65448670878692,1766.09658887402,128.83185265894988,1.275,0.4435206041615085
2029.575,130.53959623122222,1771.8967007772644,121.837812896106,1.25,0.30348848933344197
2030.1,130.8867127669855,1777.7657345627947,120.55633830489789,1.225,0.34316637057662996
2027.025,127.70777446144278,1772.411984264091,117.66406266291582,1.175,0.37257991018529735
2042.75,151.45265892263774,1783.6388054124986,138.69683844968753,1.225,0.30240265941464983
2052.475,151.76474826450797,1795.3841819309196,136.4288291805873,1.25,0.3804429551263411
2049.35,152.81568705642204,1789.068270318778,141.41657643343714,1.225,0.34316637057662996
2048.875,150.8381735677781,1792.2329386718254,142.2027149344586,1.1,0.2051956704170308
2057.45,142.01203618374265,1802.182377224261,128.00524374894556,1.225,0.30240265941464983
2073.55,157.26569037276076,1813.7373188257702,153.56259379606314,1.2,0.2991215208080594
2073.7,158.57153457965705,1815.6118178105135,150.98232018362955,1.1,0.2051956704170308
2073.975,162.3053875131367,1814.7399891001198,149.07625197676907,1.15,0.23508117299081363
2075.575,159.92327724650704,1817.2882725375912,143.357703409949,1.1,0.2051956704170308
2076.2,167.0117707796291,1815.4205724059757,157.40420993527098,1.1,0.2051956704170308
2081.025,163.36989632828866,1821.0799545086018,149.56036563156448,1.125,0.2750598021100904
2081.75,153.68923703027278,1820.962808102183,140.73308413247238,1.125,0.2750598021100904
2082.35,159.0188750795922,1825.1557367787402,147.34149087947642,1.1,0.26157418189029846
2088.475,156.6003524732203,1822.8127608470204,140.78159081139523,1.1,0.26157418189029846
2097.2,171.08180560926496,1831.5619675631508,163.67850769445957,1.2,0.2991215208080595
2092.3,170.23029293160175,1833.0008420075385,160.10982788079176,1.1,0.2051956704170308
2098.1,175.5548047581843,1834.8619027577092,163.3919970733063,1.075,0.18317377426626164
